25.930782,0.000000
0.000000,0.044785,2501300667.414981
0.000000,0.086517,1294783416.785815
0.000000,0.127018,881924330.231069
0.000000,0.168778,663712488.424100
0.000000,0.206853,541544780.416175
0.000000,0.244841,457521038.125943
0.000000,0.282603,396386590.512694
0.000000,0.319800,350281316.359804
0.000000,0.357102,313692149.883339
0.000000,0.395070,283544688.283086
