residual_norm,time,compute_time,flops
391682.937500,0.000014,0.0,0.0
306835.093750,0.211345,0.080851,0.989666
248310.484375,0.423879,0.082150,0.974021
198186.875000,0.655511,0.070769,1.130663
157765.031250,0.899604,0.064808,1.234664
129234.195312,1.156295,0.066922,1.195661
106697.562500,1.383895,0.088553,0.903591
87679.281250,1.624705,0.102097,0.783724
74147.507812,1.878299,0.114382,0.699551
62496.878906,2.134841,0.116148,0.688915
52527.125000,2.401830,0.123594,0.647413
43953.207031,2.680369,0.110090,0.726826
36805.191406,2.976605,0.112587,0.710702
30665.123047,3.287974,0.115541,0.692535
26366.501953,3.550132,0.130686,0.612278
22857.015625,3.807721,0.127964,0.625301
19620.794922,4.070215,0.130524,0.613038
17002.818359,4.330084,0.130825,0.611627
14802.367188,4.590119,0.131627,0.607898
12698.387695,4.849939,0.128696,0.621744
10994.236328,5.109303,0.130396,0.613639
9508.926758,5.372357,0.131571,0.608156
8240.064453,5.629284,0.120002,0.666786
7151.211426,5.889084,0.121397,0.659127
6254.868164,6.146180,0.127745,0.626374
5473.852539,6.405279,0.130035,0.615340
4771.919922,6.675118,0.131983,0.606258
4138.922852,6.936201,0.131248,0.609656
3619.670654,7.193890,0.129465,0.618051
3161.696777,7.455793,0.131000,0.610809
2752.327637,7.748584,0.126772,0.631179
2428.560791,8.009065,0.128879,0.620863
2117.710938,8.306779,0.127160,0.629253
1852.287354,8.611846,0.128038,0.624938
1612.384521,8.877582,0.125974,0.635177
1408.580322,9.142558,0.132078,0.605824
1244.546265,9.453877,0.128493,0.622725
1090.881470,9.768404,0.129617,0.617324
959.373474,10.078308,0.127853,0.625846
853.425415,10.336991,0.128244,0.623938
746.450195,10.596352,0.128795,0.621265
658.342651,10.859123,0.131515,0.608419
580.840820,11.118578,0.129091,0.619842
514.617432,11.377324,0.129284,0.618916
452.118958,11.634917,0.129559,0.617602
402.412720,11.895280,0.130726,0.612089
354.243011,12.155766,0.129059,0.619996
312.984100,12.424546,0.130142,0.614834
274.833130,12.681829,0.127372,0.628208
242.316574,12.938406,0.128930,0.620614
215.788513,13.236461,0.129091,0.619842
191.199890,13.547795,0.128989,0.620333
170.053009,13.808520,0.132351,0.604576
150.815765,14.081466,0.129292,0.618877
132.507355,14.341909,0.128196,0.624169
118.091866,14.602396,0.127689,0.626647
105.048820,14.865903,0.132704,0.602968
93.435654,15.126480,0.129428,0.618230
82.196487,15.442525,0.128178,0.624256
72.754417,15.709691,0.127531,0.627423
64.621140,15.972409,0.130005,0.615483
57.034611,16.227948,0.127446,0.627840
50.016014,16.522675,0.126550,0.632288
43.868717,16.832559,0.125081,0.639715
38.797272,17.147890,0.131003,0.610793
34.560028,17.408326,0.130150,0.614799
30.553514,17.676125,0.126556,0.632257
27.057970,17.938071,0.130295,0.614113
23.824459,18.199457,0.129873,0.616108
21.053617,18.495385,0.129686,0.617000
18.753756,18.827850,0.132293,0.604840
16.571817,19.089019,0.130288,0.614148
14.743404,19.345817,0.127887,0.625676
13.087743,19.608470,0.131892,0.606678
