residual_norm,time,compute_time,flops
391682.937500,0.000023,0.0,0.0
359819.093750,0.145784,0.014320,1.396896
332101.656250,0.288500,0.014431,1.386158
306755.093750,0.433616,0.014437,1.385562
283563.937500,0.580600,0.014610,1.369203
263254.718750,0.722628,0.014561,1.373792
244888.125000,0.868526,0.014625,1.367830
229223.781250,1.012209,0.014546,1.375257
214635.031250,1.157077,0.014466,1.382809
201752.390625,1.303232,0.014487,1.380787
190338.265625,1.448515,0.014603,1.369876
179417.984375,1.599730,0.014488,1.380714
169678.343750,1.746156,0.014699,1.360922
160848.093750,1.889574,0.014505,1.379108
152391.984375,2.033415,0.014423,1.386975
144415.796875,2.178662,0.014396,1.389555
136693.375000,2.323539,0.014350,1.393975
129738.796875,2.467191,0.014620,1.368272
123678.726562,2.611708,0.014578,1.372179
117797.414062,2.758851,0.014653,1.365217
112508.335938,2.901850,0.014542,1.375632
107427.546875,3.043921,0.014586,1.371492
102636.312500,3.187065,0.014744,1.356762
98262.421875,3.331936,0.014744,1.356793
94207.140625,3.475617,0.014381,1.390961
90472.054688,3.621660,0.014717,1.359279
86797.226562,3.765588,0.014536,1.376139
83359.281250,3.911792,0.014358,1.393187
80003.679688,4.053588,0.014394,1.389740
76825.882812,4.199291,0.014241,1.404648
73767.007812,4.352268,0.014665,1.364074
70904.953125,4.498340,0.014778,1.353609
68181.085938,4.653482,0.014938,1.339118
65637.257812,4.796704,0.014607,1.369444
63294.671875,4.946332,0.014890,1.343452
60992.433594,5.123967,0.014062,1.422593
58900.523438,5.269500,0.014741,1.357053
56899.589844,5.411286,0.014619,1.368326
54865.355469,5.556180,0.014521,1.377630
52974.648438,5.698641,0.014538,1.375996
51127.753906,5.840743,0.014729,1.358169
49399.191406,5.983077,0.014756,1.355669
47741.152344,6.179609,0.014602,1.369908
46153.160156,6.322107,0.014723,1.358728
44631.617188,6.465228,0.014626,1.367705
43142.078125,6.607920,0.014689,1.361826
41754.437500,6.750387,0.014875,1.344772
40398.789062,6.895653,0.014964,1.336817
39087.636719,7.038818,0.014618,1.368474
37929.730469,7.234327,0.014667,1.363835
36647.035156,7.378926,0.014771,1.354244
35511.742188,7.521572,0.014678,1.362871
34337.097656,7.666727,0.014673,1.363359
33239.292969,7.810143,0.014497,1.379865
32156.816406,7.953549,0.014890,1.343490
31105.912109,8.096880,0.014876,1.344721
30132.664062,8.253093,0.014884,1.344009
29184.308594,8.402245,0.014795,1.352104
28332.765625,8.556600,0.014705,1.360393
27491.355469,8.706654,0.014939,1.339001
26697.847656,8.867833,0.022415,0.892430
25900.683594,9.022160,0.014530,1.376719
25154.923828,9.184866,0.023534,0.849999
24432.824219,9.344684,0.023594,0.847854
23714.470703,9.510969,0.023750,0.842262
23039.248047,9.671559,0.023841,0.839051
22431.560547,9.829900,0.022966,0.871034
21771.539062,9.988261,0.023257,0.860112
21175.750000,10.154247,0.026743,0.748001
20584.644531,10.315427,0.023199,0.862285
19999.279297,10.474514,0.022853,0.875317
19440.640625,10.626535,0.014704,1.360472
18893.794922,10.810438,0.014572,1.372754
18342.126953,10.966504,0.014369,1.392179
17844.437500,11.119356,0.014667,1.363902
17338.978516,11.268997,0.014534,1.376372
16816.882812,11.478324,0.014727,1.358355
16342.739258,11.643184,0.026071,0.767292
15898.637695,11.860011,0.026228,0.762683
15460.188477,12.023646,0.025418,0.787016
15046.524414,12.202291,0.025913,0.771981
14657.109375,12.366691,0.026566,0.752991
14267.326172,12.535089,0.026385,0.758167
13891.577148,12.696781,0.026183,0.763993
13508.685547,12.863108,0.025773,0.776157
13150.440430,13.027978,0.026054,0.767804
12805.209961,13.192672,0.026169,0.764422
12470.267578,13.360741,0.026569,0.752898
12140.120117,13.519820,0.023805,0.840340
11786.991211,13.679288,0.023499,0.851282
11468.823242,13.839443,0.024048,0.831842
11160.068359,13.997328,0.023049,0.867906
10867.572266,14.159142,0.023250,0.860393
10574.341797,14.318404,0.023520,0.850502
10290.673828,14.479112,0.023554,0.849297
10022.074219,14.685951,0.026552,0.753402
9779.907227,14.847919,0.026089,0.766761
9517.961914,15.058422,0.018398,1.087307
9265.364258,15.220346,0.023431,0.853734
9025.126953,15.432826,0.023286,0.859066
8793.192383,15.592222,0.023713,0.843588
8558.517578,15.751466,0.023590,0.847993
8337.633789,15.913978,0.023412,0.854418
8127.715332,16.075194,0.023606,0.847422
7927.996582,16.235294,0.023936,0.835738
7736.687012,16.410485,0.022898,0.873616
7521.115723,16.577318,0.013952,1.433760
7327.476074,16.755472,0.023303,0.858420
7130.610352,16.914977,0.023694,0.844252
6953.162598,17.089838,0.022910,0.873141
6766.298340,17.256063,0.023316,0.857960
6584.954590,17.415206,0.014426,1.386708
6398.911621,17.599556,0.013790,1.450587
6233.581543,17.801167,0.013268,1.507712
6069.042480,18.008528,0.014606,1.369530
5903.216309,18.175429,0.014404,1.388802
5752.965332,18.325141,0.014270,1.401819
5603.580566,18.477770,0.014025,1.426318
5457.131836,18.627405,0.014444,1.384928
5315.827148,18.783459,0.014438,1.385548
5178.546387,18.940167,0.014449,1.384496
5048.232422,19.090387,0.014588,1.371296
4919.625977,19.246918,0.014078,1.420967
4793.275391,19.412537,0.014692,1.361519
4665.647949,19.590668,0.021136,0.946435
4544.826660,19.753374,0.014294,1.399442
4425.636719,19.906605,0.014172,1.411526
4314.100098,20.057224,0.014703,1.360530
4203.077148,20.211001,0.014643,1.366136
4099.462402,20.363919,0.014551,1.374782
3989.090088,20.516921,0.014475,1.382016
3886.435791,20.707497,0.013880,1.441190
3787.446289,20.912053,0.013659,1.464564
3696.156006,21.119925,0.014579,1.372119
3599.447266,21.288640,0.014319,1.397073
3507.074463,21.442844,0.014792,1.352308
3422.452393,21.604438,0.023492,0.851510
3332.808594,21.763537,0.023454,0.852906
3250.658936,21.922584,0.022899,0.873567
3172.855957,22.082886,0.023661,0.845429
3094.100098,22.247990,0.023084,0.866578
3021.216064,22.407395,0.023487,0.851701
2952.389648,22.570654,0.023369,0.856000
2879.745361,22.732981,0.023028,0.868693
2810.091797,22.897894,0.023535,0.849956
2742.950439,23.061239,0.022922,0.872704
2677.852295,23.221279,0.022662,0.882719
2613.020264,23.384639,0.022826,0.876386
2549.534912,23.542039,0.014136,1.415106
2482.742432,23.726233,0.013693,1.460863
2423.151367,23.930081,0.012079,1.656112
2362.582764,24.130570,0.012077,1.656393
2304.988037,24.301776,0.014675,1.363165
2246.772705,24.455925,0.014522,1.377485
2192.060059,24.604543,0.014920,1.340758
2140.176270,24.760541,0.014677,1.362984
2087.302490,24.914214,0.014548,1.374988
2035.031860,25.063914,0.014257,1.403077
1989.161865,25.213521,0.014449,1.384490
1940.609985,25.364393,0.014365,1.392510
1891.612183,25.521862,0.014269,1.401939
1842.643677,25.677213,0.014598,1.370323
1796.692749,25.828982,0.014660,1.364575
1752.106079,25.983970,0.014726,1.358393
1709.906128,26.134823,0.014399,1.389287
1668.198242,26.297633,0.014474,1.382098
1624.484619,26.474864,0.020482,0.976642
1583.082886,26.645429,0.014467,1.382780
1543.172852,26.831229,0.014151,1.413632
1505.166626,27.036931,0.014230,1.405804
