residual_norm,time,compute_time,flops
139883.593750,0.000019,0.0,0.0
130125.218750,0.018793,0.004876,2.051108
122266.500000,0.036606,0.004716,2.120764
116030.898438,0.054439,0.004678,2.138167
110819.195312,0.072775,0.004603,2.172923
106102.242188,0.090600,0.004504,2.220650
101939.632812,0.108548,0.004570,2.188395
98192.187500,0.126149,0.004492,2.226645
94885.804688,0.144034,0.004518,2.213589
91887.851562,0.162106,0.004512,2.216908
89052.210938,0.179858,0.004519,2.213397
86517.601562,0.197443,0.004460,2.242828
84096.046875,0.215298,0.004495,2.225264
81805.835938,0.233300,0.004456,2.244551
79711.203125,0.250938,0.004475,2.235072
77746.093750,0.268571,0.004389,2.279006
75836.343750,0.286040,0.004440,2.252471
74019.078125,0.304019,0.004479,2.233325
72400.218750,0.321823,0.004382,2.282333
70813.468750,0.339617,0.004401,2.272748
69330.257812,0.356946,0.004310,2.320791
67900.937500,0.374631,0.004496,2.224857
66605.703125,0.392444,0.004439,2.253055
65327.695312,0.409905,0.004381,2.282838
64136.296875,0.427517,0.004361,2.293479
62966.007812,0.445125,0.004311,2.320091
61858.199219,0.463052,0.004342,2.303359
60777.683594,0.480421,0.004314,2.318546
59750.195312,0.497790,0.004321,2.314846
58764.265625,0.515270,0.004214,2.373668
57788.023438,0.532854,0.004278,2.338252
56870.757812,0.550085,0.004200,2.381700
56017.226562,0.567978,0.004318,2.316373
55165.503906,0.585250,0.004262,2.346576
54313.312500,0.602638,0.004261,2.347256
53502.007812,0.620354,0.004313,2.319050
52720.621094,0.638155,0.004267,2.343958
51978.558594,0.655662,0.004205,2.378812
51248.144531,0.673036,0.004306,2.322839
50535.339844,0.690414,0.004234,2.362465
49847.328125,0.707698,0.004236,2.361086
49178.640625,0.725182,0.004256,2.350110
48532.222656,0.742646,0.004200,2.381639
47907.640625,0.760011,0.004236,2.360973
47298.429688,0.777643,0.004226,2.367034
46704.781250,0.794873,0.004209,2.376452
46130.417969,0.811971,0.004217,2.372085
45561.851562,0.829303,0.004274,2.340186
45001.464844,0.846780,0.004144,2.413509
44465.574219,0.864330,0.004253,2.351901
43960.167969,0.881731,0.004178,2.393862
43450.753906,0.899350,0.004227,2.366156
42957.937500,0.916957,0.004172,2.397632
42480.851562,0.934388,0.004279,2.337680
42011.957031,0.951995,0.004181,2.392153
41540.929688,0.969599,0.004250,2.353238
41061.878906,0.987036,0.004351,2.298818
40614.878906,1.004150,0.004156,2.406684
40182.691406,1.021656,0.004271,2.341688
39746.039062,1.038790,0.004171,2.397887
39320.214844,1.056232,0.004256,2.349931
38918.511719,1.073709,0.004192,2.385816
38523.054688,1.099281,0.004172,2.397386
38121.308594,1.116495,0.004207,2.377676
37731.382812,1.133907,0.004244,2.356876
37344.679688,1.151281,0.004295,2.328993
36972.851562,1.168721,0.004390,2.278560
36603.128906,1.186176,0.004349,2.300055
36236.320312,1.203691,0.004301,2.325718
35880.335938,1.221505,0.004395,2.275974
35533.167969,1.239250,0.004324,2.313220
35193.859375,1.256698,0.004246,2.355718
34861.156250,1.273844,0.004304,2.324070
34522.347656,1.291303,0.004235,2.361476
34201.527344,1.308808,0.004196,2.383744
33881.539062,1.326101,0.004317,2.316783
33579.937500,1.343616,0.004363,2.292415
33269.921875,1.361067,0.004238,2.360124
32971.859375,1.378594,0.004299,2.326538
32672.632812,1.396048,0.004315,2.317807
32372.968750,1.413538,0.004282,2.335919
32079.853516,1.431075,0.004228,2.365588
31793.597656,1.448659,0.004294,2.329028
31511.666016,1.474125,0.004321,2.314785
31236.156250,1.495617,0.004402,2.271943
30957.443359,1.513242,0.004402,2.272287
