residual_norm,time,compute_time,flops
139883.593750,0.000013,0.0,0.0
135132.187500,0.023949,0.001964,2.546305
131200.640625,0.042416,0.001840,2.717346
127840.390625,0.060755,0.001783,2.805110
124894.070312,0.079334,0.001758,2.844761
122259.804688,0.097997,0.001754,2.851684
119871.156250,0.116521,0.001750,2.857499
117681.515625,0.135080,0.001740,2.874061
115658.968750,0.153464,0.001742,2.870453
113779.398438,0.171877,0.001742,2.871181
112024.906250,0.190420,0.001742,2.871330
110381.445312,0.208676,0.001741,2.872655
108837.171875,0.227350,0.001740,2.873824
107382.921875,0.245609,0.001753,2.852880
106009.656250,0.260393,0.001739,2.875219
104711.117188,0.274702,0.001742,2.870957
103480.898438,0.289403,0.001736,2.881108
102313.414062,0.303911,0.001740,2.873498
101204.007812,0.318804,0.001738,2.876783
100148.343750,0.333217,0.001742,2.870946
99142.179688,0.347719,0.001736,2.881477
98182.343750,0.362135,0.001732,2.886809
97265.812500,0.376487,0.001738,2.877255
96389.343750,0.390919,0.001739,2.875725
95550.460938,0.405172,0.001737,2.879371
94746.414062,0.419537,0.001738,2.877802
93975.367188,0.433892,0.001732,2.886885
93235.484375,0.448131,0.001737,2.879733
92524.054688,0.462349,0.001736,2.880959
91840.367188,0.476609,0.001738,2.877393
91182.148438,0.490913,0.001733,2.886100
90548.164062,0.505251,0.001739,2.875470
89937.000000,0.519794,0.001734,2.883690
89347.492188,0.534212,0.001738,2.877699
88778.539062,0.548792,0.001734,2.883260
88228.859375,0.563662,0.001733,2.885579
87697.578125,0.577990,0.001732,2.886670
87183.671875,0.592584,0.001737,2.879706
86686.437500,0.606689,0.001731,2.888410
86204.601562,0.620974,0.001734,2.884854
85737.960938,0.635393,0.001737,2.878465
85285.320312,0.649703,0.001736,2.880670
84846.414062,0.663825,0.001734,2.884885
84420.382812,0.677840,0.001737,2.879256
84006.734375,0.692127,0.001734,2.883910
83604.828125,0.706426,0.001734,2.883716
83214.171875,0.720628,0.001735,2.882255
82834.195312,0.735042,0.001732,2.886743
82464.578125,0.749533,0.001734,2.883421
82104.773438,0.763857,0.001731,2.889223
81754.507812,0.778317,0.001738,2.877319
81413.312500,0.792539,0.001738,2.877498
81080.570312,0.806820,0.001730,2.890049
80756.445312,0.820910,0.001735,2.881943
80439.890625,0.835111,0.001737,2.878583
80131.406250,0.849394,0.001733,2.885373
79830.000000,0.863831,0.001735,2.881947
79535.968750,0.878182,0.001735,2.882209
79248.687500,0.892153,0.001737,2.879654
78967.726562,0.906324,0.001739,2.875332
78693.343750,0.920492,0.001737,2.879269
78424.906250,0.934889,0.001731,2.889218
78162.585938,0.949063,0.001737,2.879345
77905.765625,0.963222,0.001735,2.882820
77654.421875,0.977379,0.001733,2.885909
77408.390625,0.991842,0.001735,2.882282
77167.265625,1.005992,0.001734,2.884548
76931.312500,1.020181,0.001735,2.881768
