residual_norm,time,compute_time,flops
139883.593750,0.000015,0.0,0.0
122826.601562,0.059157,0.029343,1.363481
107477.765625,0.131955,0.038903,1.028401
94613.085938,0.205166,0.038882,1.028953
84305.828125,0.265268,0.038560,1.037549
75627.632812,0.333257,0.042287,0.946095
68176.437500,0.409222,0.042192,0.948237
61418.988281,0.472326,0.041505,0.963931
55823.730469,0.550495,0.044438,0.900309
50494.929688,0.622807,0.046373,0.862737
46083.449219,0.692925,0.048107,0.831654
42425.925781,0.762857,0.047969,0.834043
39048.054688,0.836458,0.047543,0.841511
35700.699219,0.905882,0.047650,0.839614
32773.738281,0.979993,0.048202,0.830011
30173.542969,1.054079,0.048369,0.827147
27955.529297,1.123667,0.046389,0.862440
25944.667969,1.192135,0.045030,0.888474
24087.525391,1.307188,0.045471,0.879865
22071.314453,1.386639,0.043225,0.925573
20511.183594,1.453870,0.045795,0.873630
19223.000000,1.520001,0.044737,0.894289
17864.998047,1.586939,0.045376,0.881698
16701.117188,1.652616,0.044374,0.901602
15640.951172,1.718286,0.044339,0.902322
14677.460938,1.786525,0.046824,0.854427
13847.142578,1.859827,0.049576,0.807007
13053.246094,1.935279,0.049482,0.808532
12338.296875,2.007755,0.050484,0.792491
11582.307617,2.078955,0.049164,0.813767
10925.192383,2.154742,0.049805,0.803294
10299.932617,2.228974,0.048763,0.820464
9757.435547,2.299487,0.049141,0.814155
9201.167969,2.369947,0.049126,0.814387
8710.845703,2.440409,0.048606,0.823103
8241.578125,2.511570,0.048931,0.817637
7791.771484,2.583178,0.049487,0.808451
7360.135742,2.654821,0.049696,0.805057
6946.498047,2.725927,0.049284,0.811787
6590.601074,2.801610,0.049771,0.803838
6244.381836,2.873364,0.050112,0.798369
5916.702148,2.945641,0.050731,0.788630
5623.430664,3.020089,0.049034,0.815923
5319.884766,3.091651,0.049840,0.802726
5052.715820,3.162603,0.049058,0.815529
4776.892090,3.233530,0.048951,0.817305
4531.281250,3.304616,0.049676,0.805378
4302.204590,3.379635,0.049516,0.807989
4092.258057,3.450437,0.049508,0.808105
3888.517334,3.521640,0.049767,0.803904
3684.964111,3.596455,0.049370,0.810374
3507.585205,3.667463,0.049138,0.814200
3291.623535,3.746037,0.048250,0.829173
3120.111816,3.814353,0.046905,0.852961
2953.700195,3.886837,0.047206,0.847523
2798.353271,3.955564,0.047419,0.843715
2654.579102,4.025486,0.047892,0.835375
2519.912109,4.092049,0.045357,0.882059
2388.646240,4.162884,0.047687,0.838972
2255.648193,4.232166,0.048114,0.831527
