residual_norm,time,compute_time,flops
139883.593750,0.000014,0.0,0.0
113457.476562,0.090283,0.072652,1.101361
95118.640625,0.176055,0.072777,1.099462
79658.601562,0.260764,0.071469,1.119591
68722.906250,0.346861,0.072988,1.096297
58471.628906,0.431183,0.071491,1.119252
50363.718750,0.516185,0.072241,1.107619
44213.847656,0.610157,0.072632,1.101661
39034.304688,0.695047,0.070931,1.128084
34324.773438,0.780279,0.071652,1.116725
30095.218750,0.864382,0.071427,1.120244
26753.441406,0.949453,0.072235,1.107721
23755.332031,1.034441,0.071817,1.114170
21219.720703,1.137939,0.072314,1.106500
19008.601562,1.231154,0.071721,1.115659
17032.300781,1.322539,0.069692,1.148133
15415.278320,1.414394,0.069736,1.147408
14011.500000,1.506917,0.071873,1.113291
12772.420898,1.601702,0.073645,1.086510
11576.819336,1.694263,0.070399,1.136614
10378.799805,1.786756,0.070329,1.137735
9391.623047,1.878427,0.070356,1.137295
8470.021484,1.970852,0.071032,1.126483
7725.949219,2.064797,0.072865,1.098135
7036.495605,2.157656,0.071831,1.113952
6434.752930,2.250965,0.071992,1.111463
5874.743652,2.342304,0.069328,1.154160
5376.025879,2.434061,0.070774,1.130581
4933.416504,2.526038,0.070454,1.135714
4471.458984,2.618161,0.071085,1.125641
4108.319824,2.710052,0.071055,1.126110
3732.750732,2.810807,0.078779,1.015705
3391.432373,2.906185,0.074478,1.074362
3086.678467,3.001804,0.074856,1.068927
2792.250488,3.101389,0.077927,1.026807
2526.431152,3.203458,0.077130,1.037413
2304.181641,3.299148,0.074238,1.077837
2106.952148,3.394794,0.074279,1.077239
1911.310913,3.500347,0.084202,0.950286
1738.056030,3.611382,0.089804,0.891005
1569.761353,3.722110,0.089487,0.894159
1422.650879,3.826231,0.082862,0.965657
1300.790039,3.931949,0.084484,0.947119
1182.197144,4.041305,0.084438,0.947635
1077.519653,4.146220,0.083852,0.954257
987.992004,4.251850,0.084632,0.945463
904.979675,4.352165,0.083063,0.963314
832.374817,4.453117,0.084440,0.947603
765.184265,4.558362,0.084413,0.947910
694.852966,4.653940,0.078670,1.017115
635.375671,4.749578,0.078869,1.014545
578.572815,4.852336,0.075678,1.057320
527.556824,4.949449,0.075218,1.063795
480.362915,5.046834,0.075765,1.056110
434.349976,5.143650,0.075732,1.056571
394.994720,5.239631,0.074951,1.067571
362.540039,5.336866,0.076001,1.052824
333.226227,5.434381,0.076534,1.045494
305.426117,5.531462,0.075667,1.057479
280.110443,5.628753,0.075449,1.060531
256.803741,5.724461,0.074525,1.073673
236.767685,5.820745,0.079389,1.007892
215.267715,5.932302,0.077224,1.036149
199.325089,6.025814,0.072090,1.109939
184.591980,6.114920,0.072656,1.101303
171.934814,6.208249,0.071650,1.116763
159.016235,6.301883,0.072751,1.099861
146.272949,6.395927,0.072959,1.096719
134.256943,6.489406,0.071865,1.113414
123.818840,6.582604,0.072115,1.109557
113.446716,6.676534,0.072618,1.101869
104.832603,6.771200,0.073711,1.085541
96.041618,6.869159,0.076629,1.044194
88.536476,6.968111,0.082102,0.974595
81.644661,7.072768,0.083433,0.959044
74.552757,7.172515,0.078741,1.016193
68.400764,7.272714,0.079012,1.012711
62.491859,7.373773,0.080230,0.997333
57.518917,7.474072,0.079001,1.012846
52.599880,7.574385,0.079300,1.009026
48.348896,7.675509,0.079031,1.012464
44.128895,7.794583,0.080673,0.991852
41.066219,7.887989,0.072024,1.110959
38.057884,7.981556,0.071438,1.120081
35.271111,8.074753,0.071795,1.114511
32.887218,8.168487,0.071918,1.112603
30.416765,8.265357,0.075892,1.054347
27.869375,8.369213,0.082686,0.967713
25.496378,8.470142,0.083436,0.959008
23.187876,8.572369,0.081530,0.981433
21.252911,8.693091,0.107327,0.745537
19.362408,8.817649,0.107214,0.746319
17.710438,8.933690,0.098850,0.809469
16.149569,9.053350,0.098891,0.809132
14.782283,9.165306,0.094639,0.845490
13.527213,9.273241,0.090746,0.881760
12.401834,9.388079,0.093485,0.855927
11.337953,9.498854,0.089378,0.895256
10.393567,9.606898,0.086421,0.925890
9.449721,9.709522,0.085785,0.932749
8.643692,9.813319,0.087126,0.918391
7.938973,9.917376,0.087241,0.917181
7.332914,10.020868,0.086509,0.924948
6.732790,10.128773,0.086916,0.920612
