residual_norm,time,compute_time,flops
139883.593750,0.000017,0.0,0.0
126076.226562,0.026592,0.012901,1.550528
114466.859375,0.052886,0.012779,1.565352
105076.351562,0.078831,0.012658,1.580298
98005.609375,0.104834,0.012941,1.545784
91800.992188,0.131406,0.012935,1.546510
85760.632812,0.157759,0.012696,1.575573
80568.218750,0.183864,0.012803,1.562472
75880.968750,0.209875,0.012589,1.589064
72017.835938,0.236002,0.012984,1.540645
68452.140625,0.261847,0.012649,1.581476
65258.070312,0.287780,0.012811,1.561518
62211.453125,0.314477,0.012842,1.557643
59308.261719,0.340247,0.012764,1.567193
56549.746094,0.366242,0.012616,1.585661
54095.289062,0.392217,0.012817,1.560780
51819.640625,0.417815,0.012439,1.608173
49901.375000,0.444015,0.013079,1.529461
48012.355469,0.469943,0.012738,1.570398
46153.242188,0.495765,0.012791,1.563962
44397.871094,0.521941,0.012796,1.563336
42913.765625,0.548416,0.013148,1.521483
41376.199219,0.574256,0.012785,1.564682
39949.046875,0.600598,0.012528,1.596755
38610.363281,0.626542,0.012895,1.551257
37348.015625,0.652414,0.012830,1.559209
36171.773438,0.678495,0.012772,1.566264
34984.609375,0.704463,0.012705,1.574487
33876.234375,0.730408,0.012884,1.552678
32827.644531,0.756366,0.012695,1.575772
31878.285156,0.782229,0.012712,1.573647
30923.695312,0.808378,0.012891,1.551730
30013.949219,0.834240,0.012720,1.572610
29106.308594,0.860220,0.012811,1.561421
28265.164062,0.886009,0.012697,1.575442
27427.699219,0.912208,0.012617,1.585492
26656.783203,0.938258,0.012826,1.559598
25911.978516,0.964245,0.012807,1.561907
25180.082031,0.990219,0.012835,1.558607
24540.150391,1.015889,0.012791,1.563868
23891.123047,1.042076,0.012852,1.556466
23241.183594,1.068452,0.012863,1.555107
22638.927734,1.094333,0.012670,1.578909
22064.115234,1.120632,0.012800,1.562797
21511.273438,1.146698,0.012809,1.561716
20928.509766,1.172977,0.012790,1.564022
20384.939453,1.199139,0.012882,1.552825
19878.677734,1.225292,0.012835,1.558580
19398.058594,1.251325,0.012773,1.566076
18874.261719,1.277365,0.012616,1.585655
18380.402344,1.303598,0.012847,1.557042
17919.191406,1.329604,0.012927,1.547507
17472.771484,1.355730,0.012831,1.558981
17035.837891,1.381955,0.012880,1.553104
16617.642578,1.415495,0.012861,1.555373
16214.514648,1.441499,0.012814,1.561089
15832.837891,1.467484,0.012854,1.556203
15466.930664,1.493481,0.012757,1.568134
15101.098633,1.542874,0.011790,1.696631
14730.279297,1.585478,0.021798,0.917691
14378.358398,1.628170,0.021527,0.929245
14036.117188,1.670699,0.021674,0.922970
13694.931641,1.713393,0.021761,0.919278
13353.511719,1.759031,0.024599,0.813197
13037.259766,1.804270,0.023986,0.834003
12727.319336,1.847177,0.021921,0.912537
12412.416016,1.892444,0.024278,0.823953
12145.201172,1.937916,0.024349,0.821554
11867.409180,1.982083,0.022545,0.887310
11568.248047,2.027940,0.024915,0.802879
11296.572266,2.074038,0.024914,0.802938
11050.069336,2.119553,0.024688,0.810268
10802.200195,2.165190,0.024396,0.819961
10559.916016,2.210635,0.024413,0.819407
10323.232422,2.256366,0.024679,0.810576
10088.711914,2.302505,0.025240,0.792550
9859.336914,2.347701,0.024261,0.824538
9630.212891,2.393469,0.024842,0.805241
9411.142578,2.439310,0.024714,0.809435
9216.152344,2.485326,0.024796,0.806731
9012.126953,2.531345,0.024510,0.816158
8815.819336,2.576297,0.024031,0.832418
8615.009766,2.622656,0.024757,0.807998
8426.602539,2.668507,0.024759,0.807944
8238.092773,2.714776,0.024692,0.810151
8073.685059,2.760580,0.024491,0.816802
7904.513672,2.805764,0.024476,0.817277
7729.469727,2.851447,0.024678,0.810607
7562.047363,2.897326,0.024689,0.810239
7402.410645,2.943306,0.024891,0.803674
7237.066895,2.988171,0.024179,0.827343
7084.582031,3.033973,0.024432,0.818774
6927.544434,3.077140,0.022251,0.899028
6782.440918,3.120361,0.021886,0.913993
6629.842773,3.163289,0.021933,0.912052
6490.364746,3.206778,0.022176,0.902048
6339.281250,3.249657,0.021874,0.914494
6203.489258,3.293197,0.022362,0.894537
6066.097168,3.336118,0.022229,0.899918
5944.696289,3.379347,0.022286,0.897605
5817.461426,3.422743,0.022182,0.901817
5698.952148,3.465697,0.021862,0.915002
5581.442383,3.508848,0.021970,0.910513
5463.288574,3.552206,0.022082,0.905880
5347.760742,3.595525,0.021984,0.909952
5233.282715,3.638863,0.022247,0.899166
5129.202148,3.684862,0.024480,0.817166
5026.852539,3.730305,0.024602,0.813093
4927.036621,3.775611,0.024448,0.818227
4827.930176,3.818270,0.021855,0.915299
4732.926758,3.861390,0.021695,0.922059
4632.967773,3.904878,0.022255,0.898872
4535.784180,3.948109,0.021844,0.915751
4440.796387,3.990972,0.021679,0.922754
4348.865234,4.034074,0.021729,0.920618
4250.822754,4.089909,0.019602,1.020502
4166.220703,4.123462,0.012238,1.634598
4084.210449,4.157112,0.012837,1.558289
4000.568848,4.190417,0.012468,1.604488
3928.908203,4.224207,0.012684,1.577099
3854.074463,4.257596,0.012726,1.571850
3776.768311,4.291864,0.012950,1.544708
3709.234131,4.325858,0.012900,1.550708
3638.806885,4.360075,0.012994,1.539499
3565.577637,4.393735,0.012717,1.573060
3500.306152,4.431890,0.013124,1.524211
3435.097412,4.465852,0.012870,1.554281
3365.384277,4.499352,0.012477,1.603210
3299.054443,4.533268,0.012561,1.592553
3233.650146,4.566760,0.012662,1.579830
3169.969482,4.600428,0.012644,1.582123
