54927.355469,0.000000
13658.078125,0.323864,1371182992.120903
13656.948242,0.647718,685603100.663734
13677.208984,0.972781,456502564.908760
13659.328125,1.285154,345543867.658944
13657.031250,1.608122,276146326.679952
13653.220703,1.930771,229999833.162758
13664.360352,2.255957,196846418.256170
13656.416992,2.578679,172211030.997474
13653.851562,2.901672,153041750.536152
13656.379883,3.228424,137552257.372410
