54927.355469,0.000000
13660.656250,0.276959,1170052685.392342
13660.722656,0.583447,555418238.059905
13668.866211,0.888238,364831140.829236
13659.100586,1.209565,267912009.261338
13653.205078,1.536352,210926340.994369
13659.638672,1.859661,174255997.796357
13658.243164,2.163836,149760446.574939
13664.216797,2.489277,130181197.923414
13650.642578,2.811771,115250147.031028
13662.824219,3.133633,103412549.743592
