54927.355469,0.000000
13763.634766,0.057572,2501678424.051472
13662.974609,0.114739,1255258660.988158
13662.040039,0.171567,839480433.710265
13660.598633,0.228284,630912960.892531
13661.414062,0.285244,504925284.172386
13658.161133,0.342494,420524424.199221
13655.145508,0.399338,360664472.770096
13662.902344,0.456241,315682090.085380
13666.605469,0.512158,281216062.883543
13658.947266,0.567859,253631774.729526
