54927.355469,0.000000
13664.184570,0.258170,1487654502.808785
13671.691406,0.517335,742395163.844303
13663.742188,0.774976,495585922.744510
13657.619141,1.034057,371417541.068605
13655.965820,1.275183,301185971.701163
13667.895508,1.531988,250698479.577879
13664.962891,1.786739,214954239.758895
13667.916016,2.045698,187743776.961984
13665.090820,2.303814,166709227.468008
13667.562500,2.559990,150026747.657241
