54927.355469,0.000000
13661.088867,0.083109,2455068870.017478
13659.412109,0.165222,1234924271.635194
13667.596680,0.247193,825417524.371001
13665.578125,0.329731,618798925.983345
13669.147461,0.412415,494737206.656006
13668.595703,0.493838,413165882.019024
13661.335938,0.575773,354370438.130778
13665.471680,0.657436,310352500.598945
13655.489258,0.739555,275891705.451947
13662.725586,0.821378,248408273.535251
