54927.355469,0.000000
13667.194336,0.379828,1327145742.616512
13660.824219,0.758238,664813862.558482
13648.826172,1.126561,447456343.517003
13651.898438,1.504272,335103717.733649
13664.493164,1.880964,267993938.754429
13663.452148,2.257915,223253346.125793
13663.544922,2.633386,191421628.411771
13665.416992,3.011370,167394579.068403
13661.033203,3.374943,149361625.779061
13670.693359,3.742828,134680790.335863
