54927.355469,0.000000
15706.830078,0.061223,1372316198.957613
13765.364258,0.106936,785676941.446851
13671.745117,0.153684,546688783.270153
13661.188477,0.196956,426578963.406619
13660.395508,0.239721,350479386.007611
13663.291992,0.282319,297596613.597351
13664.604492,0.325225,258335413.646968
13662.354492,0.367898,228370259.502577
13663.686523,0.410361,204739582.217786
13661.250977,0.453756,185159285.335682
