residual_norm,time,compute_time,flops
1191936.625000,0.000016,0.0,0.0
1132730.375000,1.284544,0.005161,1.938162
1079356.750000,2.555691,0.005081,1.968574
1029910.687500,3.840096,0.005175,1.932839
986022.562500,5.111731,0.005150,1.942313
946803.562500,6.404694,0.005162,1.937584
909591.062500,7.710187,0.005181,1.930678
875169.687500,8.998016,0.005154,1.940786
843612.062500,10.296712,0.005208,1.920452
814936.812500,11.578143,0.005123,1.952231
788189.187500,12.872910,0.005076,1.970580
763539.812500,14.149801,0.005073,1.971618
740998.625000,15.436370,0.005123,1.952225
719418.750000,16.716498,0.005036,1.986115
699525.250000,18.002339,0.005157,1.939552
680847.562500,19.392717,0.005143,1.944685
662845.812500,20.733770,0.005161,1.938031
646132.812500,22.063940,0.005127,1.950967
630092.312500,23.452047,0.005165,1.936456
614992.625000,24.769829,0.005181,1.930634
600544.812500,26.091438,0.005122,1.952776
586958.312500,27.415514,0.005122,1.952610
574136.187500,28.800215,0.005177,1.932169
561835.500000,30.119897,0.005076,1.970465
550494.125000,31.501976,0.005320,1.880228
539402.562500,32.823460,0.005120,1.953625
528496.250000,34.164348,0.005149,1.942451
518309.500000,35.551785,0.005156,1.939903
508366.375000,36.870431,0.005058,1.977413
498702.562500,38.197825,0.005099,1.961420
489705.125000,39.573867,0.005098,1.962077
480988.812500,40.905316,0.005045,1.982461
472639.312500,42.225117,0.005076,1.970595
464342.812500,43.592774,0.005090,1.964990
456436.937500,44.919285,0.005021,1.991846
448906.750000,46.236698,0.005095,1.963262
441513.218750,47.591158,0.005135,1.947633
434233.593750,48.883754,0.005170,1.934646
426984.250000,50.173853,0.005037,1.985550
420356.937500,51.454330,0.005119,1.953952
414002.531250,52.736648,0.005131,1.949433
407627.156250,54.030859,0.005015,1.994303
401584.343750,55.411564,0.005055,1.978537
396237.500000,56.852438,0.009467,1.056547
390677.843750,58.317035,0.009160,1.091869
385509.343750,60.894977,0.010192,0.981400
380201.968750,62.730832,0.005448,1.835825
374985.531250,64.069125,0.005388,1.856256
370108.218750,71.669211,0.005408,1.849468
365313.250000,73.843488,0.009750,1.025846
360430.218750,79.247174,0.009211,1.085863
355854.593750,81.937709,0.006068,1.648189
350997.500000,86.576670,0.005857,1.707601
346206.531250,87.942097,0.005230,1.912413
342062.250000,89.541169,0.008663,1.154555
337825.875000,91.581495,0.009102,1.098830
334292.312500,94.748171,0.004757,2.102775
330170.937500,96.472436,0.005579,1.792817
326299.656250,99.349722,0.006135,1.630219
322194.500000,101.280977,0.005287,1.891662
318114.562500,102.594181,0.009246,1.081761
