residual_norm,time,compute_time,flops
1191936.625000,0.000060,0.0,0.0
801182.312500,6.959956,0.162297,0.986044
550254.562500,8.449762,0.227876,0.702276
380152.125000,9.954358,0.226610,0.706200
264190.750000,11.430073,0.224558,0.712654
186025.625000,13.588261,0.223653,0.715536
133638.515625,15.670243,0.227764,0.702621
100006.734375,17.120415,0.187483,0.853581
70479.289062,19.023343,0.214946,0.744521
52233.960938,21.024105,0.227073,0.704760
38841.511719,22.742267,0.230696,0.693693
28777.328125,24.304608,0.223094,0.717331
21422.523438,26.065785,0.227220,0.704306
15939.423828,28.009700,0.223700,0.715386
11933.715820,30.006785,0.229259,0.698040
9044.328125,31.475680,0.229598,0.697008
6838.277344,33.116876,0.226605,0.706217
5161.021973,34.925855,0.227095,0.704693
3987.514648,36.702007,0.229272,0.698001
3007.527344,38.483332,0.224831,0.711788
2322.117188,40.129463,0.228815,0.699396
1831.961060,41.593547,0.201083,0.795851
1421.652100,43.296491,0.227904,0.702190
1093.668823,45.030608,0.227762,0.702629
837.840698,46.842436,0.226192,0.707505
660.769531,48.610165,0.224417,0.713100
518.962646,50.264046,0.228624,0.699978
412.543762,51.751184,0.214080,0.747532
327.300507,53.335821,0.231194,0.692198
260.656830,55.094465,0.230492,0.694305
206.605484,56.743475,0.227824,0.702438
166.919724,58.513393,0.233448,0.685516
134.713745,60.165032,0.231550,0.691133
108.350845,61.833795,0.229641,0.696878
87.551140,63.327804,0.228280,0.701034
69.713455,65.901553,0.227368,0.703845
56.260475,67.633944,0.222489,0.719280
44.625511,69.640712,0.216454,0.739335
36.177788,71.920027,0.225844,0.708595
30.163517,73.404407,0.164432,0.973240
23.807949,76.221713,0.225296,0.710320
19.069666,77.772071,0.229225,0.698143
15.039436,85.040280,0.225895,0.708434
11.842669,87.686411,0.230253,0.695027
9.679439,89.404011,0.229401,0.697607
7.744229,91.109327,0.211547,0.756486
6.114800,93.118546,0.210266,0.761094
4.963917,95.143206,0.212908,0.751648
4.016088,96.653101,0.211915,0.755172
3.253461,98.428543,0.211859,0.755369
2.610764,100.308291,0.211309,0.757335
2.063476,102.228999,0.210136,0.761563
1.665371,103.911359,0.214969,0.744443
1.373973,105.373145,0.175572,0.911490
1.095111,107.468817,0.209190,0.765006
0.855591,109.734380,0.213666,0.748982
0.686408,117.106326,0.195234,0.819692
0.561051,119.239143,0.214084,0.747519
0.455893,121.408386,0.217835,0.734647
0.377654,122.869160,0.191897,0.833947
0.300129,124.698456,0.211514,0.756603
0.243220,126.691531,0.212044,0.754711
0.199048,128.579866,0.221113,0.723756
0.167881,130.047024,0.172180,0.929445
0.135290,131.837915,0.232587,0.688052
0.104541,133.880728,0.232830,0.687336
0.083988,135.752552,0.230930,0.692988
0.069170,137.317261,0.233526,0.685286
0.056624,138.929515,0.233778,0.684546
0.046128,140.710989,0.231703,0.690678
0.037724,142.578626,0.232249,0.689052
0.030369,144.410117,0.232827,0.687344
0.024812,146.012958,0.233080,0.686598
0.020375,147.512335,0.220792,0.724808
0.016543,149.247264,0.232703,0.687709
0.013400,150.986821,0.231528,0.691199
0.010904,152.739936,0.231108,0.692456
0.008888,154.584155,0.230531,0.694188
0.007307,156.150486,0.236614,0.676341
0.006097,157.666406,0.218042,0.733950
0.004939,159.372781,0.230380,0.694643
0.004028,161.117486,0.230530,0.694191
0.003273,162.757749,0.234064,0.683710
0.002691,164.455348,0.230381,0.694640
0.002202,166.156567,0.234744,0.681729
0.001794,167.802627,0.234737,0.681749
0.001475,169.310694,0.225548,0.709525
0.001195,172.181331,0.233000,0.686832
0.000987,173.682954,0.235068,0.680790
0.000791,180.976300,0.232217,0.689150
0.000629,183.681023,0.213581,0.749281
0.000512,185.313190,0.233366,0.685754
0.000414,186.966223,0.215503,0.742597
0.000332,188.883460,0.215038,0.744204
0.000267,190.926813,0.213446,0.749754
0.000210,192.544760,0.220398,0.726104
0.000171,194.180713,0.227728,0.702732
0.000138,196.545918,0.222538,0.719121
0.000112,198.323151,0.225847,0.708584
0.000092,200.228603,0.225282,0.710362
0.000073,202.506023,0.227286,0.704100
0.000060,204.113755,0.227469,0.703534
0.000048,205.841134,0.225077,0.711011
0.000038,207.902790,0.226111,0.707758
0.000031,209.902956,0.227546,0.703296
0.000026,211.387043,0.220705,0.725095
0.000021,213.512428,0.228379,0.700731
0.000017,215.725695,0.228299,0.700977
0.000014,217.359559,0.226425,0.706777
0.000011,219.594785,0.224296,0.713486
0.000009,221.574274,0.228642,0.699922
0.000007,223.305523,0.223007,0.717608
0.000006,225.280586,0.225705,0.709031
0.000005,227.392377,0.226482,0.706601
0.000004,228.860830,0.208133,0.768894
0.000003,231.120035,0.225291,0.710333
0.000003,233.259182,0.223461,0.716150
0.000002,240.667936,0.221814,0.721468
0.000002,243.092595,0.213560,0.749355
0.000001,244.950460,0.214996,0.744350
0.000001,246.482576,0.207278,0.772064
0.000001,248.471964,0.207635,0.770736
0.000001,250.443312,0.212792,0.752059
0.000001,252.067439,0.211893,0.755249
0.000000,253.654982,0.198251,0.807218
0.000000,255.521013,0.210782,0.759231
0.000000,257.405195,0.215608,0.742237
0.000000,259.214808,0.216038,0.740757
0.000000,260.660426,0.202719,0.789426
0.000000,262.721943,0.148057,1.080879
0.000000,264.978627,0.213250,0.750442
0.000000,271.968895,0.204968,0.780766
0.000000,274.630235,0.208621,0.767093
0.000000,276.633680,0.208754,0.766605
0.000000,278.102965,0.185775,0.861429
0.000000,279.974424,0.207417,0.771549
0.000000,281.915411,0.210643,0.759730
0.000000,283.875957,0.206274,0.775824
0.000000,285.335976,0.173035,0.924856
0.000000,287.050034,0.225125,0.710859
0.000000,288.898370,0.222332,0.719789
0.000000,290.747948,0.224634,0.712413
0.000000,292.647812,0.223675,0.715467
0.000000,294.133754,0.197842,0.808889
0.000000,295.936619,0.223766,0.715176
0.000000,297.682426,0.224494,0.712856
0.000000,299.549451,0.224401,0.713151
0.000000,301.359911,0.226348,0.707016
0.000000,302.884815,0.225120,0.710875
0.000000,304.403543,0.226939,0.705177
0.000000,306.200282,0.225974,0.708187
0.000000,307.957147,0.224198,0.713798
0.000000,309.740148,0.226572,0.706319
0.000000,311.535496,0.225179,0.710687
0.000000,313.093171,0.225082,0.710994
0.000000,314.556139,0.224745,0.712059
0.000000,316.254617,0.222351,0.719727
0.000000,317.966338,0.223991,0.714459
0.000000,319.752700,0.217852,0.734591
0.000000,321.453365,0.220892,0.724481
0.000000,323.118970,0.226332,0.707068
0.000000,324.775045,0.224808,0.711862
0.000000,326.254618,0.217378,0.736193
0.000000,327.726781,0.222681,0.718661
0.000000,329.335858,0.226521,0.706477
0.000000,330.953841,0.225820,0.708671
0.000000,332.692264,0.222191,0.720246
0.000000,334.359242,0.225839,0.708612
0.000000,336.037242,0.222673,0.718688
0.000000,337.653664,0.224046,0.714281
0.000000,339.300496,0.228684,0.699796
0.000000,340.860570,0.223605,0.715689
0.000000,342.331529,0.224751,0.712040
0.000000,343.825613,0.224684,0.712253
0.000000,345.510976,0.217044,0.737326
0.000000,347.195592,0.226607,0.706210
0.000000,348.800927,0.227853,0.702347
0.000000,350.388910,0.225352,0.710144
0.000000,351.968245,0.221928,0.721099
0.000000,353.661776,0.220659,0.725244
0.000000,355.266568,0.227086,0.704719
0.000000,356.867681,0.225672,0.709134
0.000000,358.396034,0.215595,0.742280
0.000000,359.867593,0.227299,0.704061
0.000000,361.333596,0.224353,0.713305
0.000000,362.882111,0.221410,0.722785
0.000000,364.487931,0.219374,0.729494
0.000000,366.057801,0.226092,0.707818
0.000000,367.712422,0.226437,0.706740
0.000000,369.269258,0.223459,0.716157
0.000000,370.861476,0.223994,0.714449
0.000000,372.465709,0.228106,0.701567
0.000000,374.071041,0.225995,0.708121
0.000000,375.627747,0.224831,0.711786
0.000000,377.283467,0.231697,0.690696
0.000000,378.854262,0.224503,0.712827
0.000000,380.330395,0.229999,0.695795
0.000000,381.792566,0.227670,0.702911
0.000000,383.300333,0.224280,0.713537
0.000000,384.845410,0.222078,0.720612
0.000000,386.392111,0.223931,0.714649
0.000000,388.001179,0.223365,0.716461
0.000000,389.966851,0.226898,0.705305
0.000000,392.005704,0.219045,0.730590
0.000000,393.822029,0.220317,0.726371
0.000000,396.064330,0.220092,0.727113
0.000000,397.810572,0.224564,0.712635
0.000000,399.722554,0.227996,0.701907
0.000000,402.180655,0.224308,0.713447
0.000000,403.650913,0.189415,0.844877
0.000000,411.011066,0.222871,0.718046
0.000000,413.790300,0.209596,0.763526
0.000000,415.253586,0.213180,0.750691
0.000000,417.021472,0.210972,0.758546
0.000000,419.008640,0.207847,0.769950
0.000000,420.926827,0.211357,0.757164
0.000000,422.401680,0.205610,0.778328
0.000000,424.800263,0.213209,0.750589
0.000000,426.653244,0.216424,0.739438
0.000000,428.474305,0.220486,0.725815
0.000000,430.807971,0.216525,0.739091
0.000000,432.366846,0.218776,0.731489
0.000000,434.243139,0.216154,0.740362
0.000000,436.446373,0.214888,0.744721
0.000000,438.083989,0.214231,0.747006
0.000000,439.701122,0.218829,0.731312
0.000000,442.310349,0.213175,0.750709
0.000000,443.768256,0.187561,0.853227
0.000000,446.112536,0.216518,0.739115
0.000000,448.058606,0.216539,0.739043
0.000000,455.340123,0.216661,0.738628
0.000000,457.425198,0.217024,0.737394
0.000000,459.586817,0.216940,0.737680
0.000000,461.189263,0.219701,0.728408
0.000000,462.789853,0.221610,0.722134
0.000000,464.790496,0.214868,0.744792
0.000000,466.769007,0.214764,0.745152
0.000000,468.473916,0.219968,0.727523
0.000000,469.983724,0.208509,0.767506
0.000000,472.321129,0.228115,0.701542
0.000000,474.295165,0.230446,0.694444
0.000000,476.013160,0.231575,0.691058
0.000000,478.304351,0.227816,0.702462
0.000000,480.139903,0.231591,0.691012
0.000000,481.671321,0.228569,0.700147
0.000000,483.748451,0.229970,0.695883
0.000000,485.893852,0.227911,0.702168
0.000000,487.428776,0.214586,0.745773
0.000000,489.095187,0.227130,0.704585
0.000000,491.024059,0.224852,0.711721
0.000000,493.099464,0.229237,0.698108
0.000000,494.717451,0.233643,0.684941
0.000000,496.248243,0.228889,0.699168
0.000000,498.140756,0.225728,0.708960
0.000000,500.053055,0.229359,0.697734
0.000000,501.858805,0.233479,0.685424
0.000000,503.450765,0.226835,0.705499
0.000000,504.964775,0.223157,0.717126
0.000000,506.725784,0.227696,0.702831
0.000000,508.565466,0.233472,0.685444
0.000000,510.407658,0.229878,0.696161
0.000000,512.181474,0.230195,0.695201
0.000000,513.670778,0.220508,0.725744
0.000000,515.340671,0.232332,0.688808
0.000000,517.096910,0.229402,0.697604
0.000000,518.889550,0.229876,0.696167
0.000000,520.732862,0.227817,0.702459
0.000000,522.451468,0.232404,0.688594
0.000000,523.934943,0.224007,0.714405
0.000000,526.055487,0.228989,0.698862
0.000000,528.298889,0.228679,0.699810
0.000000,529.838247,0.223138,0.717188
0.000000,532.235623,0.225851,0.708575
0.000000,534.179294,0.227391,0.703776
0.000000,535.895649,0.233431,0.685566
0.000000,538.150153,0.227098,0.704684
0.000000,540.046545,0.233238,0.686132
0.000000,541.687479,0.231834,0.690288
0.000000,543.659298,0.227098,0.704684
0.000000,545.861553,0.227037,0.704872
0.000000,547.332801,0.221530,0.722394
0.000000,549.105161,0.228954,0.698971
0.000000,551.029819,0.228412,0.700629
0.000000,553.065715,0.227138,0.704558
0.000000,554.643100,0.223546,0.715879
0.000000,556.219155,0.227583,0.703180
0.000000,558.132845,0.230019,0.695733
0.000000,560.061266,0.226872,0.705383
0.000000,561.940780,0.235017,0.680938
0.000000,563.401803,0.193457,0.827222
0.000000,564.952917,0.232347,0.688764
0.000000,567.305622,0.224237,0.713672
0.000000,569.298575,0.229434,0.697507
0.000000,571.004044,0.221328,0.723055
0.000000,573.198861,0.217590,0.735474
0.000000,575.156497,0.218794,0.731426
0.000000,576.747542,0.228023,0.701825
0.000000,578.820281,0.226970,0.705081
0.000000,581.002365,0.227785,0.702556
0.000000,582.492839,0.226056,0.707931
0.000000,584.197906,0.220030,0.727319
0.000000,586.122318,0.220582,0.725500
0.000000,588.015062,0.222138,0.720416
0.000000,589.766154,0.221298,0.723152
0.000000,591.239870,0.193502,0.827029
0.000000,592.964065,0.220446,0.725945
0.000000,594.802190,0.216011,0.740850
0.000000,596.628199,0.218913,0.731029
0.000000,598.498115,0.220603,0.725429
0.000000,599.965934,0.204087,0.784137
0.000000,601.621508,0.216563,0.738962
0.000000,603.356774,0.218032,0.733985
0.000000,605.227540,0.220573,0.725530
0.000000,607.083150,0.219199,0.730076
0.000000,608.671471,0.220498,0.725774
0.000000,610.156007,0.193434,0.827321
0.000000,612.474270,0.219709,0.728382
0.000000,614.563265,0.221943,0.721052
0.000000,616.173087,0.217093,0.737158
0.000000,618.369187,0.218943,0.730930
0.000000,620.386310,0.220633,0.725330
0.000000,621.867726,0.201507,0.794176
0.000000,624.120626,0.231003,0.692769
0.000000,626.227912,0.227940,0.702078
0.000000,627.859548,0.228998,0.698837
0.000000,630.103877,0.230225,0.695110
0.000000,632.097770,0.231259,0.692003
0.000000,633.617818,0.231713,0.690649
0.000000,635.668818,0.229539,0.697188
0.000000,637.862308,0.230074,0.695568
0.000000,639.450783,0.226010,0.708075
0.000000,641.187920,0.230847,0.693238
0.000000,643.675621,0.227487,0.703478
0.000000,645.662020,0.234503,0.682431
0.000000,652.767050,0.209952,0.762230
0.000000,654.642025,0.207157,0.772515
0.000000,656.778701,0.209439,0.764097
0.000000,658.466025,0.210996,0.758459
0.000000,659.963278,0.210282,0.761036
0.000000,661.922060,0.208987,0.765752
0.000000,663.910240,0.207845,0.769958
0.000000,665.576502,0.211756,0.755739
0.000000,667.024599,0.207314,0.771931
0.000000,669.310939,0.224495,0.712854
0.000000,671.344289,0.223407,0.716323
0.000000,672.892909,0.140270,1.140882
0.000000,675.245841,0.224341,0.713342
0.000000,677.129431,0.224817,0.711833
0.000000,679.044394,0.229880,0.696155
0.000000,681.434320,0.221642,0.722029
0.000000,682.915514,0.174588,0.916626
0.000000,685.582878,0.224199,0.713793
0.000000,687.266283,0.227653,0.702964
0.000000,688.952151,0.218330,0.732983
0.000000,691.551468,0.222971,0.717725
0.000000,693.025835,0.229868,0.696191
0.000000,700.295865,0.225449,0.709837
0.000000,702.400450,0.212064,0.754639
0.000000,704.526381,0.215178,0.743719
0.000000,706.030162,0.213998,0.747820
0.000000,707.490055,0.218298,0.733090
0.000000,709.374227,0.209645,0.763349
0.000000,711.296439,0.210447,0.760439
0.000000,713.248833,0.213564,0.749340
0.000000,714.715904,0.198655,0.805576
0.000000,716.428912,0.209125,0.765246
0.000000,719.035133,0.212927,0.751583
0.000000,720.528213,0.209744,0.762986
0.000000,722.178290,0.222803,0.718266
0.000000,724.300199,0.219633,0.728633
0.000000,726.389401,0.224246,0.713646
0.000000,727.888240,0.224544,0.712698
0.000000,729.792588,0.221125,0.723717
0.000000,731.887919,0.223483,0.716082
0.000000,733.741077,0.224361,0.713278
0.000000,735.222013,0.226893,0.705321
0.000000,736.943290,0.226769,0.705704
0.000000,738.776764,0.224956,0.711394
