residual_norm,time,compute_time,flops
79866.117188,0.000029,0.0,0.0
67507.976562,0.024640,0.001434,3.487406
60365.593750,0.034558,0.004328,1.155583
55819.007812,0.042476,0.001837,2.722599
52732.863281,0.050190,0.001646,3.038878
50538.175781,0.053155,0.001713,2.919433
48918.335938,0.056106,0.001714,2.918446
47684.046875,0.059056,0.001713,2.919363
46716.480469,0.062007,0.001715,2.915671
45938.472656,0.064958,0.001718,2.910442
45298.492188,0.067910,0.001714,2.918390
44761.304688,0.070865,0.001718,2.910593
44302.398438,0.073830,0.001719,2.909814
43904.355469,0.076784,0.001715,2.915750
43554.511719,0.079733,0.001714,2.917923
43243.519531,0.082682,0.001716,2.913803
42964.332031,0.085626,0.001714,2.917533
42711.648438,0.088573,0.001714,2.917456
42481.265625,0.091518,0.001714,2.917926
42269.890625,0.094470,0.001712,2.921874
42074.910156,0.097420,0.001717,2.911918
41894.171875,0.100371,0.001716,2.914679
41725.964844,0.103326,0.001716,2.914877
41568.800781,0.106278,0.001711,2.923013
41421.492188,0.109229,0.001712,2.921774
41283.019531,0.112174,0.001709,2.926752
41152.441406,0.115124,0.001711,2.922277
41029.082031,0.118080,0.001712,2.921426
40912.257812,0.121025,0.001710,2.923830
40801.425781,0.123971,0.001714,2.916900
40696.054688,0.126917,0.001715,2.916203
40595.718750,0.129864,0.001715,2.916065
40500.031250,0.132820,0.001715,2.916235
40408.648438,0.135763,0.001713,2.919193
40321.253906,0.138707,0.001714,2.917799
40237.550781,0.141654,0.001715,2.916252
40157.402344,0.144601,0.001714,2.918302
40080.406250,0.147545,0.001714,2.917412
40006.484375,0.150512,0.001719,2.909430
39935.414062,0.153463,0.001717,2.912899
39867.023438,0.156418,0.001718,2.910201
39801.167969,0.159370,0.001718,2.910218
39737.718750,0.162325,0.001717,2.912959
39676.511719,0.165273,0.001713,2.920087
39617.425781,0.168218,0.001711,2.923083
39560.378906,0.171167,0.001710,2.923922
39505.230469,0.174117,0.001712,2.921646
39451.949219,0.177060,0.001711,2.922773
39400.359375,0.180006,0.001714,2.917604
39350.460938,0.182953,0.001714,2.917136
39302.105469,0.185902,0.001717,2.913069
39255.246094,0.188850,0.001714,2.917642
39209.863281,0.191820,0.001715,2.915484
39165.824219,0.194766,0.001714,2.917149
39123.101562,0.197717,0.001719,2.909031
39081.636719,0.200691,0.001718,2.911461
39041.382812,0.203640,0.001717,2.912638
39002.285156,0.206594,0.001721,2.906373
38964.277344,0.209539,0.001713,2.918957
38927.367188,0.212485,0.001713,2.920163
38891.449219,0.215430,0.001713,2.919736
38856.531250,0.218380,0.001718,2.910169
38822.546875,0.221329,0.001715,2.916463
38789.472656,0.224277,0.001710,2.924511
38757.292969,0.227226,0.001714,2.918173
38725.933594,0.230173,0.001710,2.924225
38695.402344,0.233120,0.001712,2.921466
38665.656250,0.236060,0.001710,2.924395
38636.656250,0.239012,0.001717,2.912809
38608.398438,0.241958,0.001717,2.913370
38580.843750,0.244907,0.001717,2.912722
38553.988281,0.247857,0.001716,2.913551
38527.765625,0.250810,0.001716,2.914470
38502.191406,0.253753,0.001713,2.919984
38477.238281,0.256699,0.001715,2.916707
38452.871094,0.259648,0.001714,2.917859
38429.078125,0.262595,0.001716,2.914394
38405.882812,0.265539,0.001712,2.920354
38383.183594,0.268486,0.001716,2.914192
38361.039062,0.271430,0.001713,2.919011
38339.382812,0.274381,0.001713,2.918639
38318.238281,0.277330,0.001716,2.914247
38297.546875,0.280279,0.001711,2.922210
38277.355469,0.283227,0.001711,2.922985
38257.593750,0.286172,0.001708,2.928347
38238.261719,0.289120,0.001712,2.921035
38219.375000,0.292067,0.001712,2.920870
38200.898438,0.295013,0.001714,2.917531
38182.804688,0.298037,0.001713,2.918808
38165.136719,0.300991,0.001712,2.921301
38147.820312,0.303934,0.001713,2.919379
38130.863281,0.306880,0.001715,2.916336
38114.285156,0.309826,0.001715,2.915291
38098.042969,0.312834,0.001715,2.916325
38082.144531,0.315779,0.001714,2.917724
38066.597656,0.318724,0.001714,2.917279
38051.355469,0.321671,0.001714,2.917846
38036.402344,0.324622,0.001715,2.915207
38021.773438,0.327570,0.001716,2.913796
38007.437500,0.330515,0.001714,2.917591
37993.390625,0.333465,0.001715,2.915679
37979.628906,0.336411,0.001714,2.917067
37966.148438,0.339438,0.001714,2.917899
37952.914062,0.342382,0.001712,2.921731
37939.960938,0.345335,0.001715,2.915185
37927.246094,0.348282,0.001711,2.922153
37914.781250,0.351227,0.001710,2.924538
37902.566406,0.354174,0.001712,2.921733
37890.566406,0.357119,0.001710,2.924349
37878.828125,0.360068,0.001711,2.922390
37867.285156,0.363018,0.001716,2.914910
37855.972656,0.365964,0.001715,2.915201
37844.875000,0.368910,0.001714,2.917632
37833.988281,0.371858,0.001717,2.911918
37823.289062,0.374812,0.001714,2.916892
37812.800781,0.377758,0.001713,2.918617
37802.507812,0.380705,0.001715,2.916617
37792.390625,0.383655,0.001715,2.915955
37782.480469,0.386604,0.001714,2.917976
37772.707031,0.389549,0.001713,2.919795
37763.164062,0.392495,0.001715,2.916786
37753.781250,0.395444,0.001715,2.915652
37744.562500,0.398391,0.001716,2.914388
37735.496094,0.401337,0.001714,2.917092
37726.593750,0.404288,0.001711,2.922942
37717.847656,0.407234,0.001710,2.924618
37709.269531,0.410181,0.001711,2.922732
37700.832031,0.413130,0.001712,2.921161
37692.539062,0.416072,0.001711,2.923559
37684.402344,0.419024,0.001712,2.920520
37676.406250,0.421978,0.001723,2.903320
37668.546875,0.424931,0.001715,2.916186
37660.820312,0.427884,0.001714,2.917178
37653.218750,0.430836,0.001715,2.916707
37645.742188,0.433786,0.001715,2.915780
37638.410156,0.436782,0.001712,2.920729
37631.183594,0.439733,0.001708,2.927186
37624.078125,0.442690,0.001718,2.910330
37617.101562,0.445655,0.001718,2.910265
37610.230469,0.448609,0.001717,2.913456
37603.484375,0.451565,0.001714,2.917953
37596.875000,0.454515,0.001715,2.915470
37590.347656,0.457461,0.001713,2.919330
37583.914062,0.460443,0.001713,2.919457
37577.609375,0.463386,0.001707,2.929975
37571.390625,0.466331,0.001713,2.919588
37565.292969,0.469283,0.001712,2.920779
37559.285156,0.472231,0.001710,2.924314
37553.378906,0.475186,0.001710,2.924545
37547.550781,0.478138,0.001713,2.919049
37541.816406,0.481088,0.001713,2.919277
37536.183594,0.484032,0.001712,2.921220
37530.628906,0.486980,0.001714,2.917561
37525.164062,0.489928,0.001714,2.917002
37519.804688,0.492876,0.001716,2.913720
37514.500000,0.495851,0.001716,2.913983
37509.277344,0.498800,0.001707,2.929117
37504.175781,0.501758,0.001717,2.912995
37499.136719,0.504716,0.001717,2.913303
37494.148438,0.507671,0.001717,2.912025
37489.261719,0.510627,0.001718,2.910953
