residual_norm,time,compute_time,flops
79866.117188,0.000022,0.0,0.0
23026.925781,0.176147,0.103278,1.549531
23608.787109,0.389433,0.179584,0.891127
16070.787109,0.608509,0.196462,0.814572
13428.332031,0.827465,0.194892,0.821132
10987.452148,1.047351,0.195700,0.817743
10204.314453,1.266392,0.216967,0.737588
8535.648438,1.484576,0.216670,0.738597
10712.533203,1.700862,0.214378,0.746494
6700.539062,1.916515,0.214095,0.747481
5066.040527,2.130629,0.212659,0.752529
4480.622070,2.348034,0.216018,0.740828
4010.492432,2.565096,0.215597,0.742273
4035.233398,2.779511,0.212459,0.753236
9100.599609,2.996255,0.215278,0.743374
6981.249023,3.215320,0.213775,0.748601
4846.467773,3.437091,0.220195,0.726775
5481.343262,3.655783,0.217400,0.736119
3753.861328,3.876193,0.218813,0.731364
3112.764648,4.090770,0.213142,0.750823
2805.773438,4.308457,0.215743,0.741770
2729.553711,4.531073,0.220843,0.724641
2322.272461,4.749032,0.216618,0.738777
2610.505615,4.970790,0.220441,0.725962
3168.204102,5.194391,0.217836,0.734644
2763.966064,5.424431,0.228687,0.699785
2759.682373,5.655225,0.229511,0.697274
2225.555420,5.885098,0.228058,0.701715
2288.869873,6.110026,0.223568,0.715809
10339.992188,6.338591,0.226659,0.706048
3518.065430,6.577020,0.229148,0.698379
2810.974609,6.809587,0.227882,0.702258
2189.108887,7.040280,0.229069,0.698618
2089.102783,7.269516,0.227288,0.704093
2265.032227,7.499945,0.228642,0.699924
1800.726074,7.728620,0.227304,0.704043
1967.830078,7.962084,0.228273,0.701056
2091.360596,8.192886,0.229143,0.698392
3555.057129,8.420444,0.226224,0.707406
11431.627930,8.648869,0.227136,0.704566
4593.663574,8.874284,0.223599,0.715711
3446.880371,9.101460,0.224995,0.711270
2780.698242,9.347940,0.234142,0.683482
2077.941895,9.573464,0.223778,0.715137
2097.106689,9.800694,0.225667,0.709150
1894.247314,10.030396,0.228408,0.700641
1538.151978,10.261231,0.229551,0.697152
1545.950806,10.490599,0.227616,0.703080
1787.931274,10.717184,0.225286,0.710351
1459.549805,10.945311,0.226691,0.705947
1535.520142,11.171400,0.224607,0.712499
1473.423096,11.398097,0.225272,0.710393
1523.554932,11.622371,0.221465,0.722608
1848.841431,11.857721,0.225565,0.709472
2031.914429,12.094337,0.229663,0.696813
1814.227051,12.323976,0.228299,0.700974
1918.660645,12.548339,0.222974,0.717715
1342.844849,12.770455,0.220577,0.725514
1288.298584,12.997385,0.225621,0.709296
1156.381104,13.222619,0.223617,0.715652
1146.097778,13.445578,0.220985,0.724175
1301.067871,13.670710,0.223815,0.715020
1272.187012,13.895133,0.222968,0.717737
1126.532227,14.118213,0.221393,0.722840
1067.191162,14.340384,0.220799,0.724785
1086.150269,14.566003,0.224326,0.713390
1200.102417,14.792160,0.224866,0.711677
1251.028320,15.013925,0.220478,0.725842
1164.558228,15.235920,0.220371,0.726195
1751.953003,15.460067,0.222829,0.718184
1498.489380,15.680238,0.217301,0.736455
1160.673828,15.910249,0.224306,0.713454
1178.281738,16.132473,0.219900,0.727750
1241.857422,16.357216,0.223414,0.716301
1021.606323,16.581947,0.223344,0.716528
959.563599,16.812575,0.229016,0.698782
970.300171,17.037404,0.223408,0.716323
957.833618,17.262881,0.224040,0.714299
1286.493286,17.490350,0.226080,0.707856
1023.779053,17.714497,0.222800,0.718278
955.506226,17.939056,0.223277,0.716742
948.300110,18.168261,0.227886,0.702245
1029.948730,18.392041,0.222482,0.719305
1015.565125,18.620810,0.227457,0.703571
958.848999,18.850266,0.228143,0.701456
2514.740479,19.077411,0.225816,0.708683
