residual_norm,time,compute_time,flops
79866.117188,0.000029,0.0,0.0
56764.445312,0.014259,0.004100,2.439433
46459.316406,0.031401,0.004102,2.438566
40479.042969,0.052368,0.004603,2.172787
36619.558594,0.072935,0.004242,2.357641
33993.664062,0.091073,0.004139,2.416370
32261.699219,0.113207,0.008837,1.131825
31039.144531,0.135360,0.008818,1.134282
30085.001953,0.157446,0.008895,1.124442
29210.583984,0.178861,0.008503,1.176324
28547.080078,0.204062,0.008179,1.222890
27894.476562,0.222846,0.008731,1.145546
27431.910156,0.250528,0.008298,1.205418
26983.746094,0.269203,0.008444,1.184443
26369.763672,0.297870,0.004428,2.258634
25958.875000,0.314940,0.004327,2.311379
25606.914062,0.333579,0.004379,2.283887
25273.035156,0.361104,0.009595,1.042421
25030.847656,0.380403,0.009570,1.045107
24816.535156,0.402349,0.009274,1.078479
24634.330078,0.425831,0.009164,1.091403
24424.681641,0.454398,0.004206,2.377807
24232.642578,0.468339,0.004039,2.476590
24065.162109,0.485247,0.004156,2.406912
23880.578125,0.503267,0.004253,2.351499
23718.414062,0.523690,0.004177,2.394712
23586.460938,0.541857,0.004114,2.431500
23464.513672,0.559789,0.004182,2.391829
23361.583984,0.581315,0.008331,1.200639
23237.667969,0.606982,0.008577,1.166081
23139.978516,0.625614,0.008496,1.177277
23035.455078,0.644277,0.004208,2.377067
22939.593750,0.662433,0.004102,2.438613
22846.753906,0.684370,0.004159,2.405118
22758.337891,0.706522,0.004112,2.432358
22674.751953,0.723337,0.004184,2.390807
22594.660156,0.741711,0.004285,2.333927
22519.582031,0.767374,0.008742,1.144129
22454.642578,0.790319,0.008638,1.157846
22379.103516,0.812113,0.008693,1.150556
22314.494141,0.835261,0.008728,1.146015
22247.353516,0.856926,0.008482,1.179156
22187.630859,0.879834,0.008421,1.187806
22143.382812,0.903327,0.008964,1.115852
22098.542969,0.926409,0.008681,1.152132
22054.333984,0.949667,0.008883,1.126016
21998.449219,0.971603,0.008862,1.128663
21938.593750,0.994606,0.008537,1.171606
21907.068359,1.017813,0.008650,1.156251
21866.294922,1.041087,0.008762,1.141491
21813.386719,1.064453,0.008858,1.129186
21770.947266,1.087343,0.008469,1.180948
21734.804688,1.112964,0.008719,1.147151
21684.072266,1.131285,0.004275,2.339863
21625.466797,1.159220,0.004301,2.325551
21570.869141,1.174229,0.004147,2.411585
21513.000000,1.208138,0.004351,2.298673
21469.197266,1.222361,0.004569,2.189045
21436.482422,1.244750,0.009380,1.066350
21391.376953,1.261889,0.004564,2.191470
21345.292969,1.280072,0.004445,2.250358
21303.144531,1.300586,0.004154,2.407903
21259.212891,1.336362,0.004107,2.435135
21215.443359,1.354434,0.004206,2.378124
21165.982422,1.388774,0.004202,2.380061
21126.474609,1.419066,0.004239,2.359287
21089.681641,1.441212,0.004100,2.439235
21053.472656,1.476906,0.010939,0.914361
21022.609375,1.504397,0.010772,0.928558
20990.125000,1.537025,0.010474,0.954939
20972.988281,1.567578,0.010624,0.941488
20941.154297,1.593318,0.010305,0.970599
20915.761719,1.622243,0.011009,0.908524
20884.195312,1.659141,0.010802,0.925930
20841.207031,1.677141,0.004461,2.241893
20819.320312,1.711988,0.010182,0.982364
20791.166016,1.740358,0.010808,0.925389
20756.777344,1.769281,0.011190,0.893837
20720.470703,1.805209,0.011187,0.894076
20701.003906,1.829425,0.011201,0.892988
20669.267578,1.848486,0.004558,2.194370
20635.466797,1.867338,0.004734,2.112926
