residual_norm,time,compute_time,flops
79866.117188,0.000023,0.0,0.0
46410.218750,0.039246,0.029412,1.360267
31382.091797,0.081248,0.029184,1.370892
23805.537109,0.122879,0.028602,1.398763
18733.183594,0.173131,0.041638,0.960846
15555.669922,0.220157,0.041568,0.962473
13589.998047,0.267236,0.041816,0.956772
12090.389648,0.314284,0.041504,0.963947
10935.690430,0.361389,0.041780,0.957592
10123.112305,0.412718,0.041493,0.964209
9435.697266,0.463106,0.042190,0.948291
8832.911133,0.510274,0.041701,0.959398
8171.739258,0.559116,0.043516,0.919377
7623.746094,0.608238,0.043613,0.917339
7255.300293,0.656747,0.043071,0.928888
6959.843262,0.705695,0.043738,0.914723
6662.060059,0.754926,0.043678,0.915984
6354.886230,0.803045,0.042675,0.937511
6014.509277,0.851178,0.042797,0.934841
5764.497070,0.898833,0.041843,0.956154
5575.006348,0.946522,0.042003,0.952495
5344.584473,1.001909,0.041569,0.962444
5151.724609,1.059115,0.047661,0.839429
4941.076660,1.117006,0.048805,0.819758
4779.996094,1.178541,0.049396,0.809938
4634.233887,1.241392,0.049343,0.810816
4485.515625,1.301187,0.047349,0.844952
4383.026367,1.359957,0.046465,0.861030
4234.842285,1.418834,0.046697,0.856756
4110.763184,1.477385,0.046289,0.864313
4007.046631,1.536785,0.047228,0.847116
3919.062744,1.595608,0.046547,0.859521
3798.924805,1.655312,0.046992,0.851377
3735.688965,1.714964,0.047414,0.843795
3648.162354,1.775397,0.048221,0.829686
3553.901367,1.835274,0.047076,0.849860
3497.332520,1.897945,0.046345,0.863267
3399.048096,1.954909,0.047585,0.840765
3337.870850,2.015747,0.047391,0.844220
3253.555664,2.079195,0.047036,0.850585
3198.376221,2.136089,0.047492,0.842417
3151.717529,2.196313,0.047675,0.839177
3103.343994,2.257935,0.049311,0.811335
3064.136963,2.320131,0.050007,0.800048
2989.149902,2.383574,0.049953,0.800918
2968.886963,2.450640,0.050826,0.787154
2931.106445,2.514231,0.047214,0.847376
2885.590088,2.571410,0.050317,0.795122
2842.149170,2.631139,0.049864,0.802335
2800.778564,2.692801,0.050353,0.794555
2759.915527,2.752027,0.049792,0.803498
2721.397217,2.807475,0.049713,0.804785
2688.859131,2.867733,0.050211,0.796800
2663.526855,2.929803,0.047454,0.843084
2616.394287,2.991585,0.047364,0.844696
2580.112305,3.054287,0.048981,0.816808
