residual_norm,runtime,flops
25171.445312,0.194742,1664033878.685322
16871.650391,0.390157,830580776.320556
14555.553711,0.597755,542123323.599437
13907.533203,0.793790,408240361.458422
13736.901367,1.110793,291734987.049579
13684.583008,1.417190,228661675.076969
13669.731445,1.726855,187657335.111995
13663.336914,2.028270,159770196.289784
13663.012695,2.369702,136750091.825587
13661.233398,2.710049,119576090.966647
13661.012695,3.053694,106119662.683653
13661.094727,3.391323,95554753.882068
13661.974609,3.699120,87603821.045116
13666.051758,4.006820,80876357.490905
13663.114258,4.348801,74516403.436711
13662.458008,4.660007,69540021.989509
13662.372070,5.002575,64778045.896693
13662.513672,5.358183,60478900.368485
13661.806641,5.704640,56805866.801534
13662.364258,6.013426,53888914.686741
13661.750000,6.363194,50926782.869567
13661.390625,6.710898,48288175.345059
13661.733398,7.062133,45886563.862855
13665.519531,7.414429,43706266.023172
13662.245117,7.762858,41744551.057855
13661.761719,8.087224,40070240.727385
13662.588867,8.441284,38389537.779822
13662.140625,8.798117,36832540.110789
13662.028320,9.164323,35360716.083754
13661.643555,9.515469,34055810.529700
13661.909180,9.865572,32847260.893527
13662.916016,10.222280,31701050.041751
13664.715820,10.588737,30603933.338729
13662.896484,10.949132,29596593.502624
13661.439453,11.291458,28699304.901545
13660.745117,11.611511,27908255.106878
13663.297852,11.966021,27081434.107902
13663.877930,12.322140,26298760.272746
13663.090820,12.676756,25563085.288242
13663.586914,13.037645,24855485.892194
13662.164062,13.395190,24192041.479171
13663.483398,13.736374,23591160.971045
13661.152344,14.092344,22995252.593572
13659.956055,14.443574,22436067.170387
13661.708008,14.794929,21903248.143382
13660.028320,15.155050,21382773.180588
13662.783203,15.486261,20925451.678609
13662.948242,15.820716,20483081.353100
13664.914062,16.187801,20018592.903112
13662.200195,16.514560,19622503.473550
13660.525391,16.873369,19205234.341689
13659.543945,17.247845,18788260.251434
13658.316406,17.620051,18391376.652800
13661.570312,17.987829,18015347.686570
13660.861328,18.351699,17658147.297828
13660.425781,18.674394,17353013.483977
13660.468750,19.044516,17015765.016696
13663.085938,19.417886,16688582.984475
13662.551758,19.775150,16387082.174154
13662.938477,20.122576,16104150.871007
13660.051758,20.483918,15820068.906689
13661.032227,20.840813,15549153.737304
13659.384766,21.206461,15281050.307814
13660.286133,21.569204,15024059.800013
13659.857422,21.927176,14778784.022459
13661.125000,22.287789,14539665.458385
13661.262695,22.643058,14311538.586883
13663.241211,23.001922,14088257.345878
13665.333984,23.352811,13876573.542220
13663.640625,23.674739,13687880.494016
13664.347656,23.989797,13508117.528475
13659.513672,24.312641,13328745.280676
13662.633789,24.629566,13157235.659695
13664.110352,24.978763,12973300.384202
13664.034180,25.336561,12790094.317074
13663.314453,25.695798,12611283.736759
13660.654297,26.047892,12440815.036344
13662.346680,26.404258,12272907.120339
13663.974609,26.761531,12109060.814203
13662.151367,27.120582,11948748.120549
13663.497070,27.475817,11794262.554149
13663.742188,27.823358,11646940.750335
13661.331055,28.137859,11516761.193793
13661.500000,28.452256,11389501.269698
13660.041016,28.770008,11263709.025993
13659.731445,29.125391,11126271.103800
13660.068359,29.487915,10989485.203634
13660.828125,29.852519,10855264.857718
13661.436523,30.212438,10725947.043245
13662.953125,30.537758,10611682.841849
13664.213867,30.865063,10499152.359961
13664.056641,31.188609,10390235.934754
13663.627930,31.540202,10274411.027926
13662.532227,31.894390,10160313.637515
13662.576172,32.251815,10047713.569250
13660.485352,32.614368,9936019.601552
13661.020508,32.957508,9832569.880535
13660.215820,33.277961,9737886.420588
13660.842773,33.589377,9647603.845778
13660.313477,33.929953,9550764.746516
