residual_norm,runtime,flops
28632.335938,0.267557,1435459567.927495
19069.623047,0.533389,720050554.924907
15284.783203,0.843743,455194639.524532
14117.260742,1.141228,336538288.015953
13822.048828,1.401454,274049055.133612
13711.601562,1.733382,221570916.304215
13678.185547,2.047149,187610671.803449
13667.189453,2.316813,165773900.440160
13664.846680,2.643031,145313096.717166
13663.534180,2.953940,130018571.399319
13662.554688,3.264732,117641213.235025
13662.999023,3.512636,109338682.525843
13662.504883,3.769640,101884275.569278
13660.899414,4.033418,95221227.321941
13661.984375,4.293457,89454019.230010
13660.530273,4.551886,84375361.461662
13663.298828,4.917222,78106509.842439
13664.291992,5.229758,73438778.661704
13660.448242,5.489738,69960906.086625
13662.054688,5.751803,66773323.061874
13663.630859,6.009976,63904912.793302
13664.420898,6.336958,60607472.008186
13663.923828,6.597671,58212512.788970
13664.987305,6.911203,55571658.703895
13661.991211,7.173542,53539381.685125
13663.113281,7.426371,51716649.409851
13661.996094,7.685080,49975666.233150
13663.135742,7.942011,48358914.313544
13662.186523,8.257965,46508674.762720
13663.203125,8.530408,45023289.230999
13664.966797,8.791625,43685554.092325
13663.446289,9.051069,42433333.268811
13664.711914,9.320525,41206586.995830
13664.202148,9.578625,40096258.360498
13662.784180,9.837398,39041522.476302
13659.706055,10.092496,38054710.741503
13660.723633,10.350545,37105971.279093
13658.187500,10.621168,36160523.975533
13661.942383,10.942223,35099540.967722
13663.295898,11.273991,34066642.471662
13661.217773,11.585598,33150383.028987
13660.648438,11.844397,32426050.202999
13661.093750,12.109747,31715526.739232
13662.785156,12.471477,30795630.471885
13663.192383,12.841842,29907470.204047
13664.110352,13.164961,29173425.367595
13665.735352,13.431882,28593686.266561
13664.534180,13.687904,28058862.308861
13660.929688,13.946432,27538728.677901
13664.449219,14.211008,27026020.386125
13660.318359,14.470795,26540836.406650
13663.848633,14.794482,25960151.827670
13663.586914,15.107176,25422818.513238
13664.115234,15.365410,24995558.183735
13663.108398,15.624913,24580425.872481
13663.592773,15.885441,24177295.506913
13661.563477,16.139850,23796194.606897
13660.607422,16.395823,23424685.990030
13660.683594,16.660702,23052270.393000
13661.088867,16.962298,22642392.261437
13663.541016,17.277427,22229409.164910
13664.170898,17.537594,21899640.544313
13661.084961,17.802346,21573954.428053
13664.044922,18.065227,21260014.984163
13660.224609,18.323841,20959962.157396
13661.703125,18.589137,20660830.171783
13663.484375,18.854318,20370240.836854
13660.686523,19.110161,20097528.302086
13661.253906,19.373227,19824626.931941
13664.209961,19.636366,19558965.850125
13663.071289,19.900275,19299582.312779
13661.197266,20.158677,19052192.925424
13663.363281,20.423939,18804747.234243
13662.477539,20.679779,18572103.911350
13661.764648,20.939284,18341936.266622
13663.856445,21.195973,18119809.741712
13661.788086,21.457709,17898789.103879
13661.637695,21.720300,17682398.822497
13661.276367,21.983906,17470371.598841
13662.295898,22.244840,17265442.549640
13661.124023,22.565961,17019749.371459
13662.126953,22.883893,16783289.754967
13660.234375,23.142815,16595517.873616
13660.720703,23.463671,16368581.444285
13663.469727,23.729061,16185512.334255
13663.492188,24.058764,15963704.851607
13662.610352,24.389111,15747478.413062
13661.627930,24.651236,15580030.548247
13661.904297,24.916093,15414415.103905
13663.577148,25.176271,15255118.878944
13662.550781,25.439326,15097373.877439
13662.633789,25.709957,14938453.753425
13662.913086,26.021559,14759569.443655
13663.389648,26.280646,14614062.376728
13663.675781,26.542527,14469873.360088
13662.696289,26.799021,14331381.576778
13660.902344,27.058562,14193917.664437
13661.758789,27.313838,14061260.841055
13663.547852,27.571932,13929637.150136
13662.291016,27.834376,13798297.365117
