residual_norm,runtime,flops
14966.267578,1.750129,1110962189.399971
13709.181641,3.527199,551238308.476454
13663.596680,5.282457,368072481.489021
13661.258789,7.075436,274799625.686022
13662.306641,8.866979,219277274.379413
13660.233398,10.635201,182819965.436661
13660.157227,12.436282,156343113.735633
13663.095703,14.220014,136731722.852095
13662.272461,16.000069,121519913.446688
13662.005859,17.759053,109483709.857088
13662.933594,19.503895,99689165.681603
13663.042969,21.293665,91310115.801397
13666.776367,23.083247,84231087.303379
13661.522461,24.878545,78152762.091660
13661.232422,26.666503,72912709.874235
13664.359375,28.459050,68320165.185733
13660.402344,30.239781,64296994.498518
13660.529297,32.035110,60693627.725862
13662.554688,33.826700,57479062.365648
13662.169922,35.613510,54595208.651897
13662.907227,37.401349,51985478.357861
13659.605469,39.190717,49611926.862997
13658.929688,40.969210,47458250.438085
13661.979492,42.751927,45479283.617695
13660.098633,44.537786,43655672.388701
13663.121094,46.332439,41964702.383488
13657.588867,48.096461,40425573.358245
13661.111328,49.840147,39011261.769061
13663.410156,51.625814,37661914.701366
13663.775391,53.409212,36404338.298003
13661.168945,55.197253,35225068.228537
13661.961914,56.978056,34124137.133027
13660.303711,58.768787,33084348.177571
13664.045898,60.556250,32107784.055219
13664.829102,62.340729,31188711.547852
13661.173828,64.117653,30324363.476780
13658.548828,65.855596,29524096.919158
13662.763672,67.621722,28752994.743708
13663.954102,69.396183,28017780.338339
13660.295898,71.175645,27317307.949465
13659.128906,72.958294,26649842.029484
13660.246094,74.748360,26011634.420698
13665.553711,76.539846,25402807.746646
13662.080078,78.331205,24821870.222981
13665.122070,80.102748,24272912.560715
13657.952148,81.891697,23742663.360367
13660.556641,83.686334,23233506.689670
13664.459961,85.462192,22750727.050744
13663.777344,87.236005,22288125.172949
13661.961914,89.031285,21838694.309353
13663.713867,90.766309,21421241.361227
13661.404297,92.561280,21005835.383685
13663.620117,94.328724,20612247.487300
13665.268555,96.106529,20230956.587881
13662.829102,97.889432,19862481.274983
13663.541016,99.674735,19506718.601585
13664.033203,101.448531,19165649.622098
13664.238281,103.235339,18833928.682894
13661.171875,105.030768,18511975.484016
13661.079102,106.823408,18201319.670672
13660.805664,108.614616,17901154.290304
13663.809570,110.363677,17617454.028775
13661.500977,112.146085,17337448.716885
13660.379883,113.923484,17066955.230425
13662.669922,115.702519,16804534.764731
13664.709961,117.464743,16552430.564412
13661.916016,119.252273,16304318.239165
13664.092773,121.074541,16058925.284068
13662.247070,122.863679,15825075.567804
13661.631836,124.727074,15588652.452347
13663.263672,126.612415,15356527.245677
13665.275391,128.486201,15132574.466687
13661.930664,130.347290,14916512.653328
13665.848633,132.203161,14707114.367487
13662.952148,134.081900,14501040.013958
13663.154297,135.910670,14305918.800180
13662.290039,137.787175,14111088.412497
13659.526367,139.635220,13924330.871048
13661.679688,141.495107,13741302.069785
13662.640625,143.381579,13560507.679654
13660.815430,145.249263,13386140.232824
13664.311523,147.110399,13216788.334332
13660.202148,148.977544,13051141.459224
13660.610352,150.867344,12887659.759575
13663.951172,152.749801,12728834.931463
13663.945312,154.599920,12576507.175110
13663.619141,156.479973,12425404.757047
13660.631836,158.360161,12277879.706692
13663.528320,160.222704,12135152.859143
13659.160156,162.099641,11994640.990555
13658.894531,163.986202,11856649.996049
13661.331055,165.858064,11722836.683577
13660.016602,167.710234,11593371.220790
13660.256836,169.555071,11467230.054322
13663.120117,171.443366,11340928.757932
13661.243164,173.321024,11218067.794316
13663.583008,175.191733,11098280.541092
13662.086914,177.042400,10982267.537980
13664.545898,178.919783,10867031.967610
13663.061523,180.798254,10754124.875791
