residual_norm,runtime,flops
26348.931641,0.396111,1272590667.647081
16481.322266,0.894208,563724941.242006
14195.253906,1.379593,365388161.119555
13778.412109,1.907130,264317060.979443
13685.043945,2.420408,208265358.163294
13669.814453,2.953493,170674902.410677
13660.464844,3.473235,145134748.013869
13658.918945,4.005935,125835067.290174
13664.666992,4.520427,111513151.336519
13664.274414,5.042184,99973938.407269
13662.177734,5.564658,90587239.258978
13663.654297,6.074423,82985172.815925
13659.981445,6.587882,76517317.575824
13662.059570,7.110794,70890402.641004
13660.415039,7.637420,66002266.644474
13665.013672,8.154149,61819698.516897
13660.659180,8.666149,58167360.486207
13660.939453,9.191586,54842224.623851
13662.785156,9.712279,51902034.184933
13659.655273,10.239324,49230495.015768
13663.591797,10.766552,46819724.411325
13662.679688,11.301776,44602458.370091
13663.292969,11.837262,42584763.719511
13662.704102,12.372550,40742371.053376
13662.170898,12.910842,39043696.611965
13662.416992,13.445614,37490813.937537
13664.443359,13.976432,36066931.916991
13661.180664,14.500059,34764480.015178
13663.011719,15.034595,33528472.871939
13662.439453,15.573907,32367408.466231
13663.154297,16.109971,31290373.225946
13663.471680,16.649131,30277075.730843
13659.581055,17.183032,29336324.874752
13661.629883,17.700537,28478627.334754
13664.662109,18.214782,27674611.099075
13665.315430,18.732918,26909156.183979
13663.474609,19.246893,26190565.651922
13662.905273,19.774535,25491724.708611
13662.337891,20.289815,24844337.101151
13661.311523,20.799418,24235630.765941
13661.901367,21.313181,23651420.335383
13663.806641,21.814681,23107695.625443
13662.078125,22.330552,22573871.493868
13661.922852,22.841514,22068896.720529
13662.186523,23.360784,21578342.821546
13662.813477,23.892091,21098488.513048
13662.956055,24.447320,20619315.500397
13663.321289,24.954554,20200200.879958
13663.108398,25.509352,19760870.791375
13660.389648,26.053766,19347951.646355
13659.603516,26.607727,18945135.861194
13659.594727,27.172327,18551484.581300
13661.828125,27.716869,18187011.214896
13660.761719,28.251624,17842762.363169
13659.324219,28.795085,17506008.595316
13661.291016,29.343812,17178647.376829
13660.582031,29.887507,16866144.615805
13658.727539,30.445528,16557013.013716
13660.628906,30.997893,16261976.531145
13662.126953,31.557108,15973802.501564
13662.705078,32.102552,15702396.890941
13662.332031,32.653138,15437628.326246
13662.767578,33.207302,15180004.849806
13663.572266,33.710173,14953557.419634
13663.675781,34.275556,14706894.928648
13661.720703,34.836496,14470083.608704
13662.102539,35.361735,14255154.782734
13665.570312,35.913165,14036273.553924
13665.445312,36.480287,13818065.684315
13664.546875,37.020109,13616572.688993
13661.745117,37.559550,13421007.552207
13662.536133,38.119862,13223736.255618
13660.089844,38.688669,13029318.991837
13661.229492,39.238647,12846696.906087
13665.641602,39.787757,12669399.720239
13663.778320,40.318636,12502580.859916
13661.960938,40.871642,12333417.123380
13660.480469,41.417717,12170806.177796
13655.891602,41.968970,12010945.239479
13659.801758,42.490582,11863499.714083
13664.333984,43.039275,11712255.966229
13664.081055,43.580192,11566883.369542
13662.301758,44.125591,11423915.059556
13664.783203,44.691410,11279281.581473
13659.955078,45.245818,11141073.840045
13659.258789,45.755879,11016879.554001
13660.679688,46.305717,10886063.982883
13664.504883,46.855411,10758352.027167
13660.471680,47.408593,10632819.203055
13660.224609,47.965216,10509428.398185
13660.354492,48.512692,10390827.342777
13660.047852,49.073614,10272057.940706
13663.291992,49.614331,10160108.897816
13658.884766,50.166524,10048274.526811
13660.594727,50.725790,9937489.491555
13660.838867,51.285945,9828950.242166
13660.737305,51.837323,9724402.730595
13660.015625,52.382593,9623177.775543
13660.277344,52.936387,9522504.848758
13659.453125,53.444439,9431982.381731
