residual_norm,runtime,flops
36333.320312,0.084952,1695392254.306513
26107.707031,0.162228,887808174.171723
20496.119141,0.237446,606568657.547402
17412.765625,0.314670,457707757.806150
15721.793945,0.393243,366254802.566819
14792.995117,0.470985,305800067.168304
14282.640625,0.555186,259421490.210638
14016.281250,0.675962,213069854.639132
13864.194336,0.793401,181531113.649617
13773.000977,0.850800,169284251.812318
13723.092773,0.923435,155968836.823720
13695.682617,0.986519,145995204.242506
13680.695312,1.104205,130435045.677627
13672.783203,1.222769,117787634.325366
13668.266602,1.298247,110939641.932899
13665.292969,1.458593,98743776.579672
13663.934570,1.539337,93564313.493536
13663.321289,1.615480,89154333.720100
13662.695312,1.691624,85141287.015501
13662.469727,1.821100,79087911.984544
13662.549805,1.956356,73620028.753999
13662.443359,2.034411,70795431.183661
13662.951172,2.166075,66492153.940782
13662.932617,2.241417,64257140.729052
13662.807617,2.318586,62118464.859360
13662.919922,2.446501,58870621.405344
13664.333008,2.565691,56135767.699452
13663.365234,2.640068,54554283.758703
13662.708008,2.711544,53116227.461591
13662.553711,2.787085,51676586.360530
13662.671875,2.858844,50379452.047656
13662.612305,2.934085,49087537.310945
13662.542969,3.006401,47906786.655058
13662.439453,3.077266,46803556.898726
13662.799805,3.206734,44913927.475899
13663.360352,3.320418,43376171.686617
13662.164062,3.446684,41787121.113464
13662.166016,3.573905,40299622.751904
13661.889648,3.701505,38910394.500318
13662.432617,3.821349,37690092.084382
13661.773438,3.899447,36935237.720091
13662.357422,3.975132,36232003.486830
13662.354492,4.049258,35568738.061006
13662.372070,4.124736,34917874.297752
13662.175781,4.200619,34287088.661918
13662.503906,4.276923,33675377.343827
13662.728516,4.352171,33093137.350778
13662.905273,4.425267,32546510.963652
13663.063477,4.499910,32006641.753993
13662.793945,4.571086,31508269.033288
13662.635742,4.647479,30990353.488830
13662.660156,4.719975,30514358.625574
13662.999023,4.843834,29734089.920590
13663.190430,4.978373,28930535.540668
13662.874023,5.051686,28510678.190230
13662.916016,5.126397,28095172.706092
13662.605469,5.198137,27707429.298755
13662.346680,5.273640,27310739.570407
13662.032227,5.349974,26921068.675401
13662.215820,5.420644,26570090.537455
13662.025391,5.495874,26206387.141769
13662.131836,5.570615,25854775.941697
13662.569336,5.669874,25402191.675208
13662.083984,5.746632,25062854.634110
13662.191406,5.822367,24736846.031212
13662.201172,5.898786,24416381.634082
13662.204102,5.974137,24108422.294506
13661.914062,6.051155,23801572.057305
13662.210938,6.125151,23514032.897084
13662.180664,6.198321,23236454.464700
13662.632812,6.271791,22964252.919684
13662.670898,6.347444,22690552.849538
13662.184570,6.471073,22257050.378918
13662.082031,6.544828,22006232.941469
13662.589844,6.618106,21762572.240222
13662.574219,6.689725,21529584.330813
13662.479492,6.820035,21118219.998988
13662.085938,6.893782,20892305.176217
13662.298828,6.965450,20677345.077187
13662.338867,7.040976,20455546.098150
13662.102539,7.120824,20226171.309258
13662.584961,7.199657,20004704.418234
13662.260742,7.284479,19771765.532634
13662.110352,7.365077,19555397.517880
13662.422852,7.444484,19346807.511594
13661.208008,7.571864,19021341.585711
13661.299805,7.682999,18746197.096846
13661.685547,7.754768,18572702.805901
13663.083984,7.890901,18252288.676594
13662.948242,7.970742,18069459.279021
13662.131836,8.044973,17902732.539829
13662.238281,8.133689,17707463.289630
13662.751953,8.261021,17434528.443399
13662.076172,8.391967,17162483.799423
13661.672852,8.529963,16884833.677503
13660.920898,8.664687,16622297.684945
13661.877930,8.743891,16471728.554208
13662.153320,8.818680,16332037.129623
13662.176758,8.895176,16191585.180844
13661.905273,9.021460,15964932.465898
