residual_norm,runtime,flops
16744.720703,1.231128,1043122239.839235
13944.945312,2.381494,539248570.746751
13683.683594,3.488554,368123054.068845
13663.216797,4.725861,271742440.969837
13660.455078,6.133613,209373668.624884
13662.342773,7.527902,170594288.556422
13660.584961,8.930402,143802828.086880
13663.840820,10.317793,124466256.574742
13663.418945,11.720806,109567294.869598
13661.808594,13.120507,97878610.277268
13660.074219,14.504401,88539821.330065
13660.425781,15.893864,80799546.982831
13657.850586,17.322846,74134296.728830
13661.897461,18.728425,68570475.719551
13660.015625,20.119693,63828858.409267
13664.125000,21.549804,59592977.893651
13664.829102,23.112948,55562665.412971
13661.266602,24.665944,52064377.801156
13658.670898,26.168969,49074039.791835
13660.031250,27.609347,46513850.135935
13661.052734,29.088530,44148569.954904
13664.454102,30.580949,41994021.138134
13661.655273,32.079168,40032740.366520
13664.208008,33.587489,38234980.791730
13663.228516,35.068595,36620144.312431
13663.163086,36.555887,35130237.581133
13662.966797,38.032951,33765904.488333
13658.049805,39.519499,32495781.516350
13659.963867,40.974311,31342003.496331
13662.241211,42.458975,30246066.935861
13665.839844,43.947946,29221320.618185
13659.634766,45.428363,28269057.377713
13662.208008,46.900419,27381781.079245
13667.044922,48.382891,26542791.942700
13662.218750,49.863848,25754470.413384
13661.936523,51.325649,25020959.774912
13663.363281,52.808763,24318255.704844
13660.426758,54.282031,23658234.455422
13662.420898,55.750234,23035185.926647
13666.633789,57.240421,22435492.103615
13661.493164,58.693545,21880038.271295
13662.403320,60.154089,21348789.784581
13663.033203,61.625065,20839199.097588
13663.220703,63.111544,20348369.265637
13662.684570,64.609006,19876749.089302
13662.117188,66.078585,19434692.743807
13662.085938,67.556925,19009405.770935
13661.064453,69.043794,18600035.247566
13660.167969,70.517341,18211364.567995
13664.135742,71.993028,17838074.579362
13664.868164,73.451898,17483782.427871
13665.183594,74.933668,17138050.741124
13661.336914,76.388615,16811628.393736
13659.639648,77.854748,16495037.778395
13661.315430,79.315887,16191169.975300
13659.185547,80.781794,15897356.879272
13662.490234,82.251572,15613282.200310
13664.879883,83.752716,15333437.092141
13662.305664,85.217321,15069905.822325
13666.566406,86.667697,14817712.325009
13661.825195,88.143732,14569578.277337
13662.125000,89.599928,14332790.538926
13663.111328,91.050854,14104392.800294
13659.628906,92.514540,13881245.076552
13658.075195,93.992996,13662901.030541
13662.218750,95.465035,13452223.735093
13662.253906,96.976232,13242595.359789
13661.370117,98.535223,13033075.607967
13664.286133,100.096093,12829841.456486
13663.271484,101.592275,12640892.319794
13662.054688,103.113252,12454432.108052
13665.216797,104.647703,12271812.611789
13665.487305,106.139690,12099309.899619
13666.167969,107.587343,11936506.333503
13665.375977,108.986724,11783242.560422
13663.623047,110.369844,11635578.685160
13662.864258,111.759928,11490853.863443
13660.942383,113.157068,11348977.319098
13659.441406,114.534000,11212539.530258
13662.333984,115.924709,11078026.533993
13658.712891,117.307498,10947441.796487
13664.291016,118.701045,10818919.126796
13662.084961,120.089741,10693811.098397
13659.529297,121.470774,10572230.346950
13662.190430,122.857736,10452878.611900
13657.168945,124.252849,10335513.524709
13659.690430,125.655161,10220169.208073
13659.733398,127.041307,10108657.052013
13660.416016,128.430873,9999285.811667
13665.303711,129.826979,9891757.605674
13663.381836,131.205459,9787832.085855
13661.777344,132.608130,9684300.654104
13660.357422,134.024768,9581937.853359
13659.402344,135.403954,9484339.014644
13662.814453,136.784030,9388647.205149
13661.246094,138.178676,9293887.010911
13667.774414,139.564540,9201599.536714
13662.906250,140.954116,9110886.883177
13661.206055,142.339919,9022184.416229
13666.982422,143.756015,8933309.707408
