residual_norm,runtime,flops
15206.570312,1.865818,752612113.025246
13727.426758,3.497760,401467511.844822
13666.998047,4.919858,285422283.515121
13661.059570,6.331976,221769185.450516
13662.906250,7.741131,181399456.121228
13661.000000,9.076733,154707323.588624
13661.575195,10.430074,134633471.223314
13662.297852,11.801806,118984925.074368
13664.643555,13.186111,106493641.998870
13663.744141,14.553881,96485398.432808
13659.766602,15.945990,88062081.405611
13662.523438,17.354263,80915972.143412
13664.323242,18.642052,75326311.331432
13665.711914,19.922683,70484333.222988
13662.955078,21.252026,66075443.093291
13662.709961,22.544333,62287806.446487
13661.542969,23.869664,58829358.399596
13660.599609,25.147543,55839928.170967
13662.291992,26.482722,53024648.757259
13665.113281,27.785810,50537919.786447
13661.633789,29.071465,48302932.330147
13662.326172,30.375914,46228634.439386
13663.030273,31.686995,44315878.062213
13659.220703,33.034413,42508307.937305
13659.804688,34.360403,40867885.347537
13663.450195,35.632297,39409107.373235
13663.039062,36.945875,38007951.459742
13665.820312,38.233672,36727756.609513
13661.531250,39.584514,35474403.042625
13667.654297,40.884003,34346856.866165
13660.092773,42.181186,33290600.194519
13661.658203,43.457497,32312882.536351
13662.637695,44.750331,31379365.564984
13668.060547,46.071110,30479773.606196
13663.137695,47.366799,29646018.990562
13664.759766,48.743451,28808731.679955
13661.888672,50.026875,28069652.500881
13662.542969,51.319557,27362609.855689
13662.561523,52.617442,26687671.222221
13659.914062,53.936798,26034860.297157
13663.369141,55.196933,25440489.590653
13662.070312,56.503492,24852216.176377
13662.874023,57.776559,24304614.772070
13660.327148,59.098611,23760913.837260
13663.604492,60.403638,23247556.614724
13664.260742,61.741853,22743680.913673
13662.360352,63.016545,22283624.384213
13662.884766,64.330013,21828644.883362
13663.340820,65.634773,21394711.295561
13664.503906,66.927846,20981356.559605
13661.654297,68.234161,20579677.265315
13658.286133,69.526152,20197248.974806
13661.728516,70.826070,19826555.312406
13662.569336,72.125367,19469391.441408
13663.854492,73.413285,19127832.337161
13662.583008,74.713300,18795007.051638
13665.713867,76.007183,18475056.721915
13665.718750,77.294858,18167275.950852
13663.751953,78.592964,17867210.307856
13662.505859,79.890670,17576983.677317
13662.413086,81.184393,17296883.764553
13662.216797,82.493968,17022299.264559
13665.689453,83.785009,16760003.113249
13661.087891,85.062606,16508276.234485
13661.687500,86.355126,16261188.765508
13662.282227,87.612881,16027745.946862
13662.001953,88.901694,15795390.925827
13662.244141,90.183524,15570881.963358
13662.416016,91.465294,15352675.796913
13659.959961,92.718859,15145106.623252
13662.145508,94.065271,14928325.722527
13664.167969,95.341303,14728527.584339
13660.341797,96.642034,14530292.395425
13663.600586,97.898516,14343802.696446
13663.111328,99.189223,14157152.974873
13664.308594,100.466663,13977143.883062
13663.977539,101.796489,13794552.360308
13661.694336,103.101569,13619938.249319
13660.786133,104.371544,13454213.144305
13660.226562,105.647799,13291682.505204
13664.048828,106.926555,13132724.663911
13663.916016,108.189763,12979388.922369
13664.639648,109.465487,12828125.529029
13664.482422,110.755690,12678689.481064
13663.266602,112.005352,12537231.252864
13661.717773,113.338507,12389760.915227
13662.308594,114.599868,12253391.148850
13662.856445,115.863263,12119777.774106
13664.964844,117.184888,11983089.572293
13665.211914,118.455224,11854580.638395
13662.260742,119.768624,11724581.611743
13659.822266,121.049491,11600519.652154
13662.704102,122.317207,11480289.935822
13660.974609,123.567104,11364165.391108
13660.095703,124.830859,11249117.519371
13664.830078,126.152618,11131255.354770
13662.531250,127.459309,11017139.626939
13661.356445,128.742346,10907343.630269
13662.796875,130.043647,10798197.649849
13662.364258,131.343508,10691331.643061
