residual_norm,runtime,flops
30567.947266,0.088195,2313473442.811412
20583.867188,0.164195,1242649554.020440
16499.843750,0.240603,848023772.108694
14897.732422,0.400989,508834170.880813
14198.877930,0.556885,366390081.992296
13893.297852,0.714631,285513829.493352
13762.908203,0.871975,233994154.343624
13707.924805,1.029144,198258972.848220
13682.532227,1.197789,170344731.593116
13669.620117,1.364675,149513302.198218
13667.122070,1.531272,133246736.942665
13664.499023,1.701915,119886741.294072
13663.511719,1.868870,109176663.255148
13663.346680,2.037802,100126034.350024
13662.647461,2.202425,92641969.142738
13661.272461,2.367321,86188982.636597
13661.314453,2.532610,80563934.523824
13662.139648,2.690007,75849982.750052
13664.639648,2.846407,71682316.044704
13664.535156,3.004721,67905469.684619
13664.260742,3.162638,64514812.416894
13661.334961,3.321537,61428491.689707
13661.594727,3.483132,58578605.881709
13662.864258,3.638122,56083057.261652
13660.384766,3.793333,53788325.327212
13661.677734,3.945837,51709441.227048
13660.783203,4.099344,49773083.584218
13663.506836,4.253459,47969662.280992
13665.769531,4.407285,46295401.250164
13665.617188,4.560032,44744639.517183
13664.445312,4.713784,43285186.678521
13665.693359,4.867264,41920270.399457
13666.291016,5.021868,40629705.504959
13662.003906,5.183738,39360980.831118
13658.345703,5.342251,38193079.788329
13661.875000,5.501452,37087845.336558
13662.948242,5.657962,36061924.987470
13664.382812,5.814198,35092892.431567
13662.430664,5.976120,34142055.429673
13662.629883,6.134114,33262669.712516
13661.867188,6.303518,32368750.810963
13662.503906,6.458634,31591353.853833
13660.807617,6.614658,30846191.505800
13659.965820,6.772792,30125983.468348
13661.343750,6.928230,29450092.791699
13662.719727,7.083159,28805935.122186
13661.212891,7.236640,28194992.893348
13659.322266,7.390372,27608489.339604
13659.820312,7.547094,27035174.616990
13661.321289,7.699530,26499928.835475
13661.510742,7.860461,25957383.122216
13662.608398,8.020089,25440740.569042
13661.102539,8.181138,24939930.377036
13662.769531,8.338575,24469048.745633
13663.212891,8.498464,24008693.225112
13661.794922,8.656803,23569556.460185
13662.607422,8.829112,23109573.566855
13662.499023,8.987393,22702579.203213
13661.403320,9.146821,22306875.652985
13660.760742,9.305596,21926269.020879
13660.987305,9.464352,21558476.390633
13660.024414,9.627604,21192916.531278
13661.269531,9.786941,20847882.542871
13662.405273,9.946630,20513179.015707
13663.869141,10.101219,20199244.857483
13662.057617,10.263027,19880782.229255
13663.016602,10.421926,19577667.072361
13661.655273,10.583133,19279451.993612
13662.175781,10.743147,18992294.473491
13663.164062,10.908363,18704639.404741
13662.059570,11.072347,18427619.238225
13662.262695,11.252739,18132207.811686
13663.072266,11.416349,17872352.230496
13661.111328,11.577873,17623012.139019
13661.770508,11.743030,17375158.676733
13661.793945,11.903439,17141013.678100
13660.627930,12.062478,16915016.443884
13660.487305,12.223924,16691612.753114
13660.438477,12.377778,16484138.714586
13662.305664,12.536204,16275820.814392
13661.436523,12.697891,16068574.690761
13661.873047,12.857907,15868601.464249
13660.204102,13.015465,15676505.204782
13659.911133,13.173166,15488835.100667
13661.344727,13.334550,15301378.610494
13661.289062,13.494605,15119894.158297
13659.856445,13.654198,14943169.582382
13662.291016,13.806547,14778278.674915
13660.250977,13.961762,14613986.957128
13661.118164,14.119304,14450924.964786
13662.408203,14.280795,14287510.110393
13664.861328,14.436932,14132989.551855
13661.687500,14.593985,13980897.495615
13659.663086,14.755618,13827750.130120
13659.541016,14.911560,13683142.525192
13663.260742,15.067775,13541282.573602
13663.009766,15.232178,13395130.133535
13665.132812,15.395644,13252904.375923
13665.268555,15.560518,13112481.035756
13663.045898,15.730982,12970391.739768
