residual_norm,runtime,flops
25460.896484,0.432308,1304850222.812191
16187.120117,0.928331,607646639.334709
14150.155273,1.404921,401515173.016560
13760.589844,1.896261,297478610.844863
13683.115234,2.400693,234972565.665261
13666.982422,2.879078,195929756.183794
13663.750000,3.363100,167731283.970141
13663.345703,3.846487,146652534.477613
13663.231445,4.328694,130315759.948424
13662.267578,4.818705,117064025.526796
13662.568359,5.381460,104822317.452412
13662.264648,5.862883,96214958.703457
13659.989258,6.344590,88909922.727119
13661.683594,6.855614,82282489.969703
13662.060547,7.349574,76752340.703810
13662.249023,7.831033,72033537.226341
13664.113281,8.323411,67772340.813817
13661.441406,8.796220,64129479.947232
13665.535156,9.234723,61084345.226449
13664.078125,9.753825,57833413.068502
13661.156250,10.264200,54957716.928854
13661.881836,10.778973,52333093.102335
13663.224609,11.270890,50049023.794656
13661.633789,11.766689,47940165.432048
13662.635742,12.312333,45815608.719596
13662.196289,12.851027,43895092.771339
13659.933594,13.395407,42111226.064951
13660.779297,13.911217,40549794.947066
13661.794922,14.420586,39117482.866886
13665.456055,14.913557,37824444.435678
13662.016602,15.405645,36616252.620011
13662.097656,15.896366,35485910.362394
13660.603516,16.395922,34404714.737685
13661.946289,16.914104,33350687.899984
13662.558594,17.406660,32406963.560059
13661.752930,17.900602,31512740.315108
13663.130859,18.399468,30658332.606957
13664.108398,18.947532,29771529.013304
13660.567383,19.459753,28987880.908796
13659.749023,19.942237,28286546.797815
13662.081055,20.433644,27606285.553954
13661.202148,20.928653,26953335.683699
13658.843750,21.414809,26341444.877022
13659.867188,21.928121,25724821.911605
13661.931641,22.417661,25163062.948607
13663.503906,22.920895,24610601.634574
13662.326172,23.409530,24096895.660305
13661.625977,23.903281,23599145.848774
13660.958984,24.406042,23113006.171558
13657.888672,24.926634,22630292.293223
13661.844727,25.428367,22183768.083057
13663.342773,25.925664,21758247.176521
13665.671875,26.427415,21345144.971139
13665.731445,26.953588,20928456.811297
13664.098633,27.413898,20577044.602963
13663.530273,27.851618,20253652.519938
13662.115234,28.278989,19947566.256960
13661.572266,28.716805,19643446.106971
13660.655273,29.151498,19350532.057503
13663.208984,29.648765,19025986.282415
13662.109375,30.073692,18757158.233250
13663.645508,30.580289,18446425.040877
13664.719727,31.124735,18123753.018240
13658.080078,31.668469,17812576.068799
13661.779297,32.206024,17515263.632236
13660.040039,32.754352,17222047.261451
13660.711914,33.328064,16925585.793208
13662.573242,33.913301,16633503.414243
13664.074219,34.501949,16349714.060129
13662.891602,35.081367,16079675.660439
13662.276367,35.638316,15828385.326247
13661.426758,36.160132,15599970.647708
13661.735352,36.709562,15366486.973340
13661.266602,37.268080,15136197.351435
13661.826172,37.814800,14917360.570586
13663.648438,38.332568,14715867.837216
13660.725586,38.924353,14492135.543315
13662.834961,39.526549,14271344.645804
13664.246094,39.993144,14104842.715214
13661.194336,40.587390,13898331.592610
13660.065430,41.166909,13702680.496932
13660.340820,41.759190,13508331.975596
13659.307617,42.316290,13330492.742072
13659.905273,42.897464,13149891.720373
13660.599609,43.483578,12972644.707002
13664.236328,44.080945,12796844.715551
13660.136719,44.634904,12638024.298092
13662.848633,45.191844,12482274.528577
13663.211914,45.743643,12331702.594875
13661.339844,46.299307,12183702.810833
13663.168945,46.851331,12040148.842471
13661.706055,47.372484,11907693.071984
13662.170898,47.895678,11777618.086582
13660.103516,48.434640,11646561.183040
13662.419922,48.967518,11519820.181908
13660.048828,49.531351,11388686.023464
13662.216797,50.076651,11264671.038945
13662.940430,50.622513,11143204.208110
13663.780273,51.155824,11027033.854068
13662.034180,51.681585,10914854.929796
