residual_norm,runtime,flops
27167.224609,0.148198,1781715595.115810
18051.945312,0.289634,911658091.015558
15089.254883,0.422618,624789631.713111
14123.824219,0.554893,475852042.070889
13814.761719,0.695247,379788816.548569
13711.035156,0.837380,315325131.676503
13678.922852,0.975613,270647199.175511
13667.195312,1.117638,236254498.516395
13665.424805,1.251314,211015870.165566
13662.127930,1.505832,175349579.645812
13661.840820,1.752427,150675062.669632
13659.170898,1.940506,136071219.756875
13660.553711,2.075827,127200899.685476
13661.802734,2.327825,113430792.971437
13659.993164,2.467553,107007622.479685
13662.390625,2.609772,101176281.103865
13664.059570,2.745282,96182099.043570
13664.033203,2.879156,91709862.789645
13664.186523,3.010421,87711000.808361
13660.457031,3.142407,84026993.434980
13663.179688,3.277931,80552962.808372
13662.616211,3.520987,74992338.176223
13662.848633,3.709933,71172977.575235
13662.955078,3.848804,68604943.535441
13660.893555,3.986158,66240980.749136
13661.554688,4.124331,64021776.163860
13661.570312,4.254880,62057450.403229
13661.434570,4.493883,58756987.270489
13664.251953,4.630879,57018771.742470
13663.632812,4.756211,55516259.872677
13662.620117,5.027865,52516725.880409
13662.749023,5.273982,50065965.473364
13662.425781,5.529737,47750372.879254
13663.514648,5.750169,45919874.465193
13666.552734,5.900216,44752091.956577
13664.328125,6.030274,43786901.845613
13660.817383,6.194465,42626281.335498
13661.770508,6.327156,41732338.507339
13660.471680,6.458412,40884198.595650
13662.910156,6.587265,40084470.110259
13662.620117,6.719853,39293569.836436
13661.901367,6.855811,38514336.663278
13663.811523,7.017767,37625504.783091
13661.541016,7.260763,36366288.740465
13662.689453,7.488700,35259394.119097
13661.713867,7.613910,34679556.580830
13659.721680,7.788015,33904277.103165
13659.059570,7.917055,33351669.454164
13661.823242,8.046926,32813401.052731
13663.083984,8.177579,32289143.533008
13661.353516,8.349064,31625941.160041
13662.185547,8.474150,31159113.607659
13660.521484,8.602327,30694836.581606
13660.750000,8.732443,30237474.101938
13660.433594,8.989975,29371271.828763
13658.948242,9.221426,28634076.262942
13662.599609,9.455595,27924949.872793
13660.409180,9.696014,27232532.861568
13660.723633,9.942644,26557021.854302
13663.801758,10.228640,25814478.578333
13663.430664,10.524010,25089961.644683
13660.906250,10.787706,24476659.909867
13661.827148,11.036938,23923936.467626
13662.021484,11.178764,23620411.981008
13662.842773,11.309817,23346709.669034
13660.390625,11.449594,23061690.864327
13662.729492,11.706049,22556457.897063
13664.074219,11.947888,22099889.432119
13661.925781,12.072678,21871452.604862
13663.123047,12.223551,21601497.049012
13659.961914,12.458845,21193538.002807
13658.651367,12.702011,20787811.610620
13661.624023,12.837186,20568916.213428
13663.274414,12.981135,20340826.451562
13662.002930,13.122470,20121745.762760
13660.474609,13.264523,19906256.535194
13658.998047,13.513820,19539035.171141
13658.956055,13.755554,19195665.139048
13663.421875,14.020678,18832684.129846
13666.072266,14.241284,18540954.984445
13663.281250,14.369149,18375966.364424
13659.633789,14.496088,18215052.321277
13660.516602,14.625359,18054053.412669
13662.295898,14.766490,17881501.057874
13661.128906,14.992709,17611694.281140
13666.874023,15.120104,17463305.767107
13663.669922,15.249951,17314613.717927
13661.226562,15.380858,17167247.884366
13663.310547,15.521836,17011325.253041
13664.721680,15.653107,16868663.707768
13664.179688,15.820421,16690264.177609
13662.686523,15.949231,16555469.123372
13662.536133,16.081688,16419109.641224
13662.177734,16.221165,16277930.782654
13660.760742,16.351199,16148479.967899
13662.123047,16.471298,16030734.055865
13665.068359,16.613123,15893881.046628
13661.264648,16.741634,15771877.923071
13659.239258,16.867294,15654378.385593
13663.086914,16.996431,15535438.726067
