residual_norm,runtime,flops
44228.617188,0.052834,1590218206.897067
36303.847656,0.097149,864825199.599116
30433.687500,0.141589,593387032.928462
26085.277344,0.185862,452041242.370956
22864.306641,0.230043,365223828.497875
20478.533203,0.274171,306440720.787065
18711.339844,0.318352,263912497.224099
17402.357422,0.362593,231711903.126766
16432.755859,0.406887,206487686.024285
15714.536133,0.451078,186258419.731445
15182.504883,0.495225,169654328.491242
14788.255859,0.539518,155726245.922298
14496.419922,0.583757,143924650.457870
14280.212891,0.627907,133804889.760353
14119.959961,0.672108,125005281.779472
14001.247070,0.716328,117288486.578316
13913.414062,0.760568,110466194.924669
13848.453125,0.800834,104911884.475534
13800.348633,0.841058,99894473.618087
13764.667969,0.881426,95319388.923705
13738.040039,0.921613,91163063.742705
13718.272461,0.961857,87348805.323016
13703.750000,1.002164,83835617.303655
13693.043945,1.042366,80602196.000330
13685.348633,1.082566,77609150.821034
13679.363281,1.122802,74827983.017351
13674.842773,1.162939,72245440.798829
13671.610352,1.202954,69842276.458053
13669.094727,1.242957,67594448.233233
13667.384766,1.282925,65488655.387494
13666.119141,1.322847,63512274.224832
13665.290039,1.362801,61650254.201404
13664.500000,1.402642,59899123.024276
13663.939453,1.442664,58237422.474078
13663.538086,1.482625,56667753.487160
13663.381836,1.522950,55167300.923572
13663.014648,1.562918,53756492.673469
13663.024414,1.603040,52411047.321497
13662.868164,1.643255,51128418.203989
13662.704102,1.683453,49907544.617834
13662.675781,1.723578,48745702.056138
13662.728516,1.763617,47639040.388190
13662.561523,1.825662,46020035.705088
13662.683594,1.865529,45036565.605219
13662.483398,1.905363,44095004.609245
13662.440430,1.945178,43192445.689580
13662.388672,1.985025,42325418.969181
13662.474609,2.024792,41494149.627639
13662.370117,2.064475,40696541.227087
13662.379883,2.104100,39930149.971839
13662.437500,2.143637,39193671.704633
13662.411133,2.183175,38483867.981251
13662.364258,2.222726,37799078.113256
13662.549805,2.262260,37138536.670114
13662.602539,2.305906,36435579.724830
13662.516602,2.345547,35819799.100007
13662.276367,2.385154,35224988.460663
13662.251953,2.424890,34647764.777606
13662.053711,2.464909,34085234.991158
13662.252930,2.505387,33534545.279882
13662.302734,2.545834,33001758.242936
13662.366211,2.586347,32484812.923519
13662.252930,2.626827,31984213.133427
13662.532227,2.666933,31503230.506225
13662.210938,2.711048,30990597.580412
13662.329102,2.755060,30495527.413993
13662.302734,2.795095,30058733.367707
13662.278320,2.835110,29634484.953397
13662.274414,2.875131,29221972.886570
13662.487305,2.915155,28820764.442929
13662.460938,2.955071,28431469.355788
13662.549805,2.995069,28051780.073080
13662.493164,3.035189,27680978.361595
13662.463867,3.075336,27319618.911659
13662.521484,3.115544,26967040.426932
13662.401367,3.155960,26621694.251834
13662.319336,3.195995,26288212.642203
13662.258789,3.235963,25963525.452532
13662.485352,3.275902,25646981.440825
13662.337891,3.315892,25337682.082259
13662.339844,3.355948,25035249.098713
13662.457031,3.395977,24740154.219576
13662.430664,3.435929,24452487.211245
13662.290039,3.475898,24171311.873903
13662.169922,3.515841,23896704.367515
13662.348633,3.555769,23628364.231904
13662.394531,3.599667,23340217.115228
13662.527344,3.643640,23058533.664076
13662.230469,3.685715,22795305.365166
13662.188477,3.729720,22526354.568244
13662.245117,3.773539,22264775.663042
13662.273438,3.813555,22031151.078955
13662.421875,3.860996,21760450.574321
13662.251953,3.918528,21440961.822320
13662.122070,3.962449,21203304.936017
13662.292969,4.006312,20971157.688424
13662.322266,4.050171,20744065.593046
13662.235352,4.094019,20521888.161425
13662.302734,4.137893,20304295.243949
13662.396484,4.181775,20091231.822997
