residual_norm,runtime,flops
16827.011719,1.209711,863162783.678130
13978.314453,2.708890,385463126.783434
13689.678711,4.041663,258353343.791654
13666.396484,5.510925,189474001.725131
13660.161133,6.565977,159028427.646094
13662.599609,7.872036,132643841.538310
13664.526367,9.285749,112449408.897968
13663.763672,10.706865,97524068.547348
13659.434570,11.840108,88189821.053328
13663.339844,13.126967,79544423.222895
13664.616211,14.530810,71859520.609181
13660.950195,15.732240,66371796.245608
13663.193359,17.135882,60935120.492815
13664.362305,18.536851,56329795.079769
13660.266602,19.919613,52419543.880154
13660.571289,21.315887,48985859.289918
13666.442383,22.762303,45873082.503504
13663.291992,23.955211,43588721.005563
13659.160156,25.326619,41228440.004876
13663.902344,26.713430,39088092.702093
13661.281250,28.115513,37138821.459425
13662.224609,29.512855,35380412.937839
13662.260742,30.916509,33774091.532270
13664.578125,32.311843,32315612.691005
13662.360352,33.705228,30979674.737008
13661.993164,35.099768,29748829.162980
13666.762695,36.549436,28568895.566081
13661.335938,37.992391,27483845.344907
13664.856445,39.456404,26464069.281533
13661.293945,40.922303,25516086.193554
13659.989258,42.043697,24835518.426843
13665.901367,43.453894,24029538.469747
13663.955078,44.947203,23231190.079164
13661.466797,46.445443,22481796.431766
13664.772461,47.935151,21783117.413928
13660.362305,49.439319,21120376.202016
13662.299805,50.937786,20499065.419985
13660.019531,52.442829,19910768.092720
13659.666016,53.919063,19365636.924489
13663.999023,55.384839,18853119.882458
13661.750000,56.860859,18363721.876887
13663.750000,58.320160,17904220.595603
13663.609375,59.772981,17469046.947354
13661.947266,61.231511,17052935.472428
13666.689453,62.690518,16656059.709978
13660.374023,64.178754,16269823.622779
13664.004883,65.647333,15905855.686786
13666.067383,67.112800,15558537.356633
13662.523438,68.586263,15224287.828229
13661.929688,70.067895,14902360.073020
13664.632812,71.519238,14599946.049945
13667.950195,72.995069,14304760.868465
13665.523438,74.481918,14019201.292252
13660.637695,75.930499,13751746.866693
13662.749023,77.399992,13490660.412298
13666.513672,78.849024,13242738.413207
13661.589844,80.283317,13006151.686747
13662.772461,81.731470,12775703.228099
13660.217773,83.182981,12552772.042974
13663.837891,84.619901,12339615.031297
13664.207031,86.064319,12132519.146330
13662.083984,87.508137,11932341.866336
13663.667969,88.956648,11738043.508522
13663.605469,90.401934,11550383.425067
13665.374023,91.849129,11368393.062541
13665.436523,93.307807,11190671.360860
13660.175781,94.768782,11018153.715434
13658.358398,96.263437,10847077.921290
13658.419922,97.760980,10680918.001573
13663.744141,99.257305,10519900.800571
13667.242188,100.743495,10364708.905729
13663.566406,102.223585,10214638.874665
13665.181641,103.669837,10072138.943695
13665.247070,105.146142,9930721.009968
13659.761719,106.628575,9792656.415265
13664.179688,108.103888,9659014.356084
13662.090820,109.564383,9530259.471521
13664.662109,111.038039,9403777.429376
13664.451172,112.507093,9280988.238246
13662.656250,114.001099,9159359.089059
13660.253906,115.488529,9041391.513072
13665.554688,116.963306,8927389.575203
13665.702148,118.411391,8818214.172875
13661.293945,119.905396,8708340.367598
13663.159180,121.390988,8601767.076875
13662.346680,122.876892,8497749.105746
13660.924805,124.363247,8396186.415165
13663.930664,125.835962,8297922.068902
13664.381836,127.317886,8201337.883442
13661.935547,128.806422,8106560.127376
13662.690430,130.278068,8014986.862026
13660.286133,131.744299,7925785.123288
13661.782227,133.210434,7838552.651477
13662.272461,134.689111,7752497.573862
13667.362305,136.163267,7668566.006780
13665.730469,137.625717,7587077.682158
13665.556641,139.106622,7506306.967123
13661.940430,140.576513,7427819.788734
13662.260742,142.024495,7352090.942290
13664.786133,143.377238,7282725.039308
