residual_norm,runtime,flops
17819.664062,0.882812,1046833984.601238
14061.685547,2.019605,457592983.656788
13708.210938,3.260785,283415547.051583
13666.166992,4.318836,213982918.630363
13663.384766,5.385482,171601551.143122
13662.109375,6.451818,143239791.940817
13662.779297,7.583924,121857373.333535
13658.793945,8.881223,104057404.905906
13658.342773,10.159653,90963439.163361
13662.278320,11.445809,80741955.686068
13658.954102,12.722413,72640072.449301
13659.059570,13.969323,66156175.930841
13662.899414,15.166665,60933434.912314
13663.586914,16.370841,56451405.616954
13661.937500,17.585414,52552473.996334
13660.607422,18.757790,49267905.777854
13660.451172,19.653443,47022651.938268
13659.893555,20.829049,44368659.642717
13663.171875,22.061005,41890975.122173
13662.602539,23.230117,39782709.953284
13663.614258,24.395016,37883025.746134
13660.362305,25.615149,36078533.834328
13661.043945,26.813128,34466587.072926
13663.068359,28.038448,32960348.631635
13662.186523,29.243016,31602657.613166
13663.013672,30.431268,30368665.910139
13656.665039,31.626966,29220539.055879
13658.851562,32.856509,28127059.936739
13665.570312,34.038552,27150302.953769
13662.730469,35.232181,26230479.890120
13659.642578,36.334147,25434944.316020
13662.537109,37.543256,24615792.638884
13663.670898,38.658015,23905960.826355
13665.228516,39.750842,23248740.614517
13662.051758,40.867146,22613691.077493
13660.541992,42.005031,22001103.034079
13666.463867,43.183149,21400871.174923
13661.986328,44.279773,20870861.365152
13667.282227,45.504443,20309159.718185
13663.702148,46.622269,19822222.636174
13661.957031,47.728511,19362787.279523
13662.509766,48.900343,18898783.729830
13656.795898,50.019003,18476117.896386
13662.683594,51.102057,18084536.256851
13660.474609,52.186070,17708882.969227
13661.303711,53.326629,17330122.384290
13663.865234,54.500793,16956762.382260
13660.307617,55.635196,16611013.626707
13660.626953,56.756943,16282712.719702
13662.274414,57.849362,15975232.290224
13662.770508,59.001170,15663367.298164
13661.664062,60.247239,15339408.440617
13661.625000,61.362037,15060728.817923
13660.357422,62.456988,14796694.989314
13662.451172,63.586375,14533883.995482
13660.415039,64.683551,14287357.195520
13664.768555,65.767745,14051827.428035
13662.468750,66.951315,13803418.344867
13662.143555,68.083872,13573802.014240
13663.094727,69.273730,13340656.000228
13661.676758,70.480052,13112320.211636
13663.792969,71.598261,12907534.177485
13661.097656,72.831267,12689014.545362
13661.964844,74.027658,12483942.136772
13659.653320,75.200779,12289194.509044
13664.388672,76.387405,12098290.337272
13662.836914,77.529052,11920138.031092
13660.811523,78.684791,11745052.570264
13664.277344,79.801194,11580741.558912
13661.582031,80.896474,11423946.603961
13660.900391,82.104001,11255931.425375
13663.092773,83.249724,11101021.856087
13664.731445,84.401648,10949513.762387
13662.154297,85.475714,10811924.875290
13658.638672,86.650902,10665290.006479
13657.822266,87.816902,10523680.290162
13662.235352,89.078805,10374600.340458
13660.455078,90.353674,10228217.221345
13662.440430,91.599033,10089156.719648
13660.322266,92.821743,9956255.651600
13662.081055,94.070453,9824094.358627
13659.034180,95.351670,9692090.394090
13663.677734,96.506344,9576126.931147
13659.739258,97.790373,9450388.357273
13662.536133,99.075818,9327775.618016
13658.811523,100.357722,9208628.719187
13658.617188,101.634979,9092902.927811
13658.045898,102.893280,8981704.198336
13663.847656,104.093628,8878132.341945
13663.115234,105.337056,8773332.319801
13662.386719,106.596186,8669700.429587
13662.845703,107.859152,8568183.445416
13664.215820,109.128037,8468556.992116
13660.958984,110.363377,8373765.142538
13659.285156,111.605654,8280557.175021
13660.350586,112.716772,8198930.684701
13660.507812,113.810370,8120147.613041
13660.722656,114.966361,8038499.179890
13661.754883,116.157526,7956066.511665
13659.636719,117.397013,7872065.746060
