residual_norm,runtime,flops
14840.260742,1.751448,870283956.915305
13707.777344,3.659795,416486981.687578
13665.505859,5.988537,254529129.546219
13663.065430,8.014062,190197821.729155
13662.528320,9.752136,156299811.877520
13659.573242,12.218139,124753618.079216
13662.640625,14.407040,105799459.783112
13660.703125,16.420417,92826939.864996
13661.165039,18.297225,83305367.247181
13664.865234,20.178387,75539091.058069
13662.189453,22.012111,69246290.448007
13665.952148,23.774285,64113686.055129
13660.042969,25.852875,58958896.406011
13663.237305,28.173634,54102250.888521
13661.045898,30.559448,49878421.557663
13662.798828,32.675086,46648905.653692
13664.139648,34.767494,43841439.667389
13660.328125,36.855195,41357995.861352
13661.361328,38.967627,39115981.838355
13658.854492,41.065035,37118122.841091
13664.670898,43.168795,35309232.376016
13661.961914,45.260361,33677526.708303
13662.424805,47.623358,32006499.910711
13658.365234,50.014292,30476428.902616
13661.235352,52.270322,29161041.104766
13662.746094,54.437608,28000073.367369
13665.178711,56.783769,26843181.414943
13662.163086,59.249228,25726191.902706
13661.759766,61.723851,24694781.148157
13666.528320,64.089126,23783394.965144
13659.345703,66.444288,22940376.824588
13662.571289,68.930621,22112915.725170
13660.894531,71.010648,21465189.222616
13665.637695,73.104175,20850478.065980
13660.835938,75.173465,20276529.667824
13661.993164,77.016002,19791432.425628
13664.363281,79.105954,19268549.663907
13664.691406,81.478201,18707543.788270
13667.253906,83.953028,18156069.372786
13663.652344,86.439243,17633854.188117
13664.286133,88.504042,17222456.331424
13657.577148,90.249791,16889313.443035
13659.961914,92.503218,16477880.928554
13663.965820,94.981906,16047867.041075
13662.768555,97.422248,15645882.013752
13666.493164,99.877523,15261261.629586
13660.747070,102.302670,14899484.089387
13661.039062,104.586529,14574123.667801
13661.100586,107.047770,14239035.580290
13662.598633,109.502122,13919885.533279
13664.242188,111.942755,13616397.083081
13662.678711,114.007507,13369795.001824
13663.283203,115.879498,13153810.942719
13659.622070,117.914620,12926785.542941
13666.038086,120.196829,12681341.241689
13658.120117,122.527503,12440121.264777
13659.821289,124.808420,12212773.832945
13661.300781,127.079524,11994513.024562
13660.699219,128.984149,11817397.789339
13663.458008,130.766893,11656291.378052
13659.453125,132.649504,11490860.914099
13661.715820,134.919404,11297537.357048
13661.599609,137.208435,11109061.926648
13665.835938,139.468142,10929069.408432
13661.103516,141.753086,10752901.687723
13657.676758,144.044690,10581834.047254
13664.538086,146.187676,10426713.424004
13662.436523,148.225001,10283400.198549
13664.610352,150.141980,10152104.029611
13661.630859,152.598963,9988645.893226
13663.925781,155.037258,9831552.890601
13661.146484,157.508722,9677286.354074
13662.622070,159.924982,9531075.019423
13665.699219,162.378213,9387078.300919
13663.140625,164.632664,9258533.322921
13661.440430,166.743754,9141313.923357
13660.531250,168.820654,9028853.784366
13660.868164,170.867120,8920715.722595
13664.643555,172.912490,8815193.159021
13659.367188,174.866802,8716674.524845
13667.625000,177.294700,8597307.218139
13660.873047,179.745625,8480078.429582
13664.897461,182.216976,8365065.821939
13665.566406,184.644811,8255076.300438
13665.460938,187.083328,8147476.428654
13664.273438,189.534588,8042104.716797
13665.087891,191.987010,7939375.692892
13666.392578,194.450515,7838791.258964
13659.774414,196.728465,7748024.693416
13659.548828,199.167205,7653152.538253
13657.798828,201.621150,7560005.495173
13660.891602,204.052374,7469930.255875
13666.953125,206.501147,7381348.847732
13663.556641,208.764958,7301306.767787
13664.459961,211.043872,7222465.098346
13662.579102,213.312466,7145653.659139
13659.937500,215.576591,7070605.349740
13660.305664,218.015785,6991498.351838
13656.952148,220.416792,6915339.732300
13662.689453,222.223392,6859120.407260
