residual_norm,runtime,flops
21494.865234,0.755764,1143409121.598286
14664.948242,1.470336,587720742.239040
13785.492188,2.299742,375758210.417400
13672.408203,3.160051,273459822.452234
13663.449219,3.984441,216880391.556343
13661.851562,4.813005,179544185.140547
13660.068359,5.668154,152456509.618828
13663.886719,6.522584,132485388.336731
13662.911133,7.377697,117129644.820343
13660.783203,8.200513,105377188.662558
13659.810547,9.037629,95616567.323138
13664.401367,9.868011,87570536.998635
13658.102539,10.646462,81167532.147580
13661.606445,11.479540,75277144.227179
13662.375000,12.301620,70246603.108085
13659.750977,13.124922,65840164.978444
13662.666016,13.953191,61931856.487166
13658.825195,14.772050,58498786.040535
13663.367188,15.593633,55416656.551169
13661.686523,16.415054,52643567.841751
13660.223633,17.238732,50128223.898350
13662.498047,18.059996,47848681.053684
13663.762695,18.909826,45698306.786343
13665.152344,19.636468,44007252.987208
13658.061523,20.465381,42224819.203442
13660.208008,21.428734,40326555.018380
13661.143555,22.268331,38806097.741404
13660.462891,23.099353,37410010.021752
13660.429688,23.932539,36107619.724123
13664.828125,24.774078,34881097.232872
13661.485352,25.601192,33754170.865834
13661.954102,26.437483,32686432.244137
13662.247070,27.270509,31687967.877452
13661.922852,28.091792,30761547.724418
13661.776367,28.920291,29880301.453987
13659.998047,29.757628,29039512.844147
13662.128906,30.585808,28253202.316253
13660.322266,31.422570,27500838.281060
13660.192383,32.261187,26785964.158648
13663.883789,33.090442,26114701.041076
13658.903320,33.919049,25476746.091600
13662.921875,34.748487,24868622.671103
13663.585938,35.576275,24289980.228951
13665.666992,36.416704,23729412.850435
13660.696289,37.250639,23198179.253869
13661.230469,38.070700,22698479.467439
13661.434570,38.943021,22190035.345578
13663.600586,39.764478,21731631.879495
13659.809570,40.695861,21234272.352952
13661.889648,41.537653,20803944.088903
13658.340820,42.377531,20391631.594784
13661.096680,43.207085,20000122.631279
13660.202148,43.962575,19656423.564166
13661.625977,44.720710,19323195.043978
13660.886719,45.498544,18992849.701226
13662.027344,46.316672,18657364.105052
13660.586914,47.195514,18309939.327455
13662.570312,48.059890,17980627.864202
13665.666016,49.018176,17629113.908640
13663.251953,49.931264,17306732.306248
13665.963867,50.800382,17010639.722227
13664.186523,51.653899,16729560.066065
13663.746094,52.528463,16451024.006653
13662.548828,53.378734,16188975.279105
13660.971680,54.220618,15937608.888563
13661.206055,55.050995,15697209.694423
13662.134766,55.918681,15453637.207170
13662.055664,56.785569,15217721.965480
13662.527344,57.660792,14986734.934639
13658.251953,58.518088,14767177.812250
13660.356445,59.347694,14560751.186064
13658.918945,60.221275,14349530.274724
13661.606445,61.090180,14145432.264837
13662.925781,61.954029,13948196.941309
13659.596680,62.797806,13760783.396587
13659.892578,63.663020,13573767.025901
13661.744141,64.493931,13398888.798458
13661.109375,65.341583,13225069.901564
13660.018555,66.077489,13077782.078179
13659.429688,66.859471,12924825.612103
13664.889648,67.641061,12775479.636892
13662.444336,68.421235,12629807.094459
13661.930664,69.281088,12473057.595181
13664.341797,70.142693,12319843.542324
13662.013672,71.000064,12171073.530422
13659.043945,71.841742,12028480.688851
13663.246094,72.670133,11891363.962190
13661.977539,73.523583,11753330.888948
13660.546875,74.386095,11617050.285276
13658.854492,75.238814,11485388.461628
13661.022461,76.107612,11354278.276061
13662.053711,76.970157,11227039.560590
13662.302734,77.797338,11107667.955008
13660.953125,78.649633,10987298.597009
13660.309570,79.505363,10869040.362825
13661.845703,80.360059,10753439.128240
13660.138672,81.201193,10642048.091816
13661.764648,81.991078,10539524.847114
13664.659180,82.776161,10439563.641246
13660.951172,83.639736,10331775.835656
