residual_norm,runtime,flops
21381.503906,0.586093,1167250710.296026
14846.728516,1.196769,571636895.854576
13864.183594,1.833242,373173408.881028
13696.625977,2.507349,272844726.296395
13668.710938,3.144727,217544192.363505
13664.110352,3.784442,180770909.477945
13662.857422,4.418911,154815740.538502
13664.112305,5.008126,136601393.483141
13660.117188,5.599665,122171066.125645
13662.186523,6.231497,109783733.053661
13660.228516,6.866665,99628719.162501
13661.090820,7.549377,90619000.892501
13660.887695,8.246668,82956783.123740
13661.308594,8.953043,76411678.742733
13662.101562,9.652945,70871325.966806
13659.984375,10.360103,66033805.326448
13661.214844,11.052892,61894842.367456
13663.771484,11.723639,58353640.928816
13661.261719,12.428988,55042050.116803
13658.906250,13.176396,51919889.205173
13659.084961,13.919115,49149461.719894
13663.290039,14.671128,46630158.976270
13664.366211,15.446160,44290427.264430
13659.996094,16.210076,42203194.833444
13660.053711,16.968960,40315789.031484
13660.191406,17.743740,38555401.652670
13661.891602,18.508772,36961772.296627
13663.083984,19.272950,35496226.351687
13662.444336,20.028830,34156613.152730
13661.964844,20.787508,32910005.127170
13663.877930,21.540796,31759133.023850
13661.768555,22.294448,30685532.714184
13663.102539,23.047483,29682938.166068
13662.582031,23.803214,28740531.430466
13661.398438,24.562711,27851852.445194
13664.174805,25.314860,27024325.572654
13660.297852,26.075982,26235521.659386
13662.008789,26.833389,25494990.531366
13663.520508,27.588359,24797306.587543
13666.583008,28.349473,24131559.595518
13663.757812,29.108891,23501994.561915
13663.531250,29.871997,22901616.124807
13662.534180,30.636057,22330451.927738
13660.500000,31.404784,21783846.496875
13664.135742,32.204339,21243007.323049
13660.094727,32.997279,20732527.873964
13662.242188,33.817197,20229855.130762
13663.422852,34.646666,19745536.134057
13662.338867,35.511085,19264885.971005
13664.693359,36.305922,18843124.332961
13660.657227,37.091763,18443906.286496
13664.957031,37.908338,18046610.290262
13659.899414,38.738247,17659988.636420
13661.739258,39.578501,17285065.836409
13661.712891,40.407416,16930481.366139
13663.263672,41.237969,16589493.045596
13659.194336,42.083649,16256123.752813
13660.322266,42.908520,15943616.869685
13663.189453,43.748950,15637335.323039
13663.104492,44.600936,15338624.234815
13662.446289,45.443954,15054081.981849
13662.914062,46.292104,14778265.434875
13666.702148,47.137766,14513140.233963
13664.204102,47.980661,14258182.040520
13664.105469,48.817865,14013660.795015
13661.347656,49.666647,13774173.208377
13665.432617,50.480199,13552185.164277
13663.607422,51.305502,13334184.053553
13662.741211,52.156798,13116545.284095
13660.923828,53.014814,12904261.227848
13660.623047,53.881301,12696742.582154
13663.365234,54.745932,12496216.095830
13658.428711,55.593036,12305803.918606
13657.647461,56.442598,12120579.532483
13661.961914,57.288006,11941714.347489
13662.062500,58.076839,11779515.110632
13662.453125,58.862292,11622330.389512
13664.701172,59.648679,11469105.667686
13662.970703,60.471281,11313089.254192
13662.601562,61.349678,11151109.963837
13661.729492,62.217118,10995639.548102
13663.382812,63.065307,10847755.095163
13666.719727,63.911844,10704072.386700
13660.943359,64.769757,10562290.767837
13665.182617,65.626215,10424447.102560
13660.415039,66.479271,10290681.431107
13662.904297,67.334221,10160019.612653
13662.291016,68.197284,10031440.545265
13662.152344,69.060329,9906077.970481
13661.352539,69.913864,9785140.768163
13662.916992,70.768860,9666921.283526
13661.207031,71.611360,9553190.982657
13659.582031,72.385872,9450974.205328
13661.978516,73.159006,9351097.535664
13664.426758,73.933298,9253164.913117
13658.331055,74.701165,9158049.907632
13660.615234,75.466846,9065133.083771
13661.579102,76.238708,8973355.109335
13661.957031,77.057084,8878054.656860
13665.325195,77.913572,8780459.957993
