residual_norm,runtime,flops
28119.699219,0.331947,1337795299.003459
17446.978516,0.729443,608789488.615742
14485.418945,1.167551,380349175.012755
13858.293945,1.626637,273003244.941655
13708.434570,2.085958,212888814.465103
13672.736328,2.541251,174747443.886239
13668.134766,2.994717,148286802.669775
13661.487305,3.477052,127716516.300200
13662.243164,3.932057,112937576.581860
13664.093750,4.424648,100364377.475793
13660.707031,4.852765,91510095.683256
13662.045898,5.292766,83902633.903778
13660.808594,5.723547,77587723.166596
13660.403320,6.155644,72141437.257499
13660.741211,6.586232,67425052.784232
13661.970703,7.016095,63294037.595568
13664.477539,7.461004,59519736.576152
13662.935547,7.894849,56248955.599812
13660.541016,8.324897,53343244.852979
13662.752930,8.760567,50690443.745968
13661.992188,9.216817,48181166.919356
13661.808594,9.672658,45910547.382595
13659.428711,10.109044,43928685.067124
13659.932617,10.513123,42240254.589597
13660.842773,10.944524,40575268.890484
13661.788086,11.372669,39047739.791678
13663.583008,11.817078,37579256.263888
13661.711914,12.266790,36201567.500903
13661.424805,12.706810,34947952.661361
13661.494141,13.137606,33801973.787668
13661.208008,13.559207,32750956.443852
13662.373047,13.986608,31750156.414301
13659.150391,14.419971,30795971.642331
13662.199219,14.851141,29901878.307637
13661.467773,15.281209,29060332.512889
13660.199219,15.709845,28267433.354867
13661.174805,16.119633,27548828.513932
13662.390625,16.520753,26879949.213211
13661.124023,16.939599,26215320.299378
13662.642578,17.369042,25567156.386706
13663.006836,17.805288,24940737.247021
13662.041016,18.229790,24359962.815144
13663.166992,18.649124,23812218.212058
13665.076172,19.079337,23275284.760389
13660.870117,19.498408,22775039.035518
13662.790039,19.929379,22282530.755800
13663.039062,20.352584,21819195.333506
13662.153320,20.773079,21377524.784854
13664.560547,21.211622,20935551.350304
13662.719727,21.652214,20509542.326865
13664.532227,22.089719,20103334.838152
13663.469727,22.535388,19705762.125435
13665.291992,22.969300,19333501.937368
13662.322266,23.402683,18975473.835876
13659.381836,23.841223,18626435.400420
13660.357422,24.277501,18291709.686378
13662.236328,24.714049,17968606.117258
13659.711914,25.155484,17653287.654079
13660.368164,25.588594,17354490.110150
13660.322266,26.032326,17058675.246375
13660.233398,26.472611,16774960.244056
13661.415039,26.897491,16509978.464572
13665.740234,27.345101,16239728.489122
13662.596680,27.785041,15982592.793701
13661.446289,28.215233,15738909.778518
13659.393555,28.652178,15498891.572366
13660.153320,29.089772,15265743.472617
13662.068359,29.521425,15042532.783237
13665.499023,29.954912,14824847.422473
13661.346680,30.388498,14613324.965156
13661.643555,30.819482,14408970.561185
13663.903320,31.253678,14208791.561142
13664.528320,31.692759,14011938.769412
13665.277344,32.132095,13820356.156843
13661.708008,32.573078,13633252.545720
13658.328125,33.014491,13450972.342607
13659.494141,33.453849,13274317.091833
13663.518555,33.894479,13101750.401400
13663.863281,34.336916,12932932.175324
13660.614258,34.746993,12780300.051668
13664.106445,35.179203,12623281.989214
13664.681641,35.607275,12471524.391514
13665.808594,36.043696,12320518.056058
13663.247070,36.480969,12172840.076947
13660.476562,36.914790,12029785.518291
13661.029297,37.357279,11887295.260837
13661.713867,37.797879,11748728.138485
13661.339844,38.229869,11615969.617082
13659.527344,38.657383,11487508.213458
13663.267578,39.097189,11358284.580632
13661.422852,39.533434,11232947.774218
13663.429688,39.963623,11112030.558823
13662.926758,40.394584,10993478.896470
13660.929688,40.820733,10878712.088896
13661.726562,41.258846,10763194.928588
13662.439453,41.700276,10649258.148850
13660.355469,42.113199,10544841.376847
13660.166992,42.550610,10436442.659163
13660.899414,42.994774,10328627.530831
13662.833008,43.430321,10225045.263054
