residual_norm,runtime,flops
16080.611328,1.172672,1043947137.600842
13831.780273,2.761120,443373430.546178
13674.820312,4.435039,276030724.561968
13663.607422,6.077663,201427261.205632
13662.441406,7.741595,158133689.462150
13662.176758,9.505024,128795784.463204
13661.813477,11.272656,108599693.212306
13663.624023,13.016431,94050899.160331
13662.564453,14.743363,83034447.922880
13660.152344,16.461881,74366166.272074
13658.333008,18.115042,67579584.608554
13661.902344,19.847659,61680171.724051
13660.004883,21.608219,56654691.462597
13660.472656,23.354764,52417871.287435
13662.022461,25.144015,48687809.495755
13659.364258,26.946614,45430829.513971
13662.042969,28.698402,42657672.213235
13660.176758,30.441127,40215560.679543
13664.190430,32.206278,38011439.619740
13663.710938,33.946987,36062317.309132
13663.640625,35.706381,34285384.865304
13663.623047,37.458226,32681926.734025
13664.591797,39.282074,31164520.508548
13663.759766,41.062696,29813118.473673
13659.904297,42.824470,28586623.238715
13659.242188,44.547343,27481032.938058
13658.344727,46.294480,26443908.689095
13662.387695,47.989355,25509970.215944
13662.600586,49.758119,24603161.068443
13659.120117,51.488858,23776153.690662
13664.776367,53.301708,22967500.380371
13663.983398,55.112995,22212674.276898
13660.446289,56.933122,21502544.956970
13661.481445,58.727935,20845394.939918
13663.156250,60.510362,20231361.351763
13658.885742,62.302485,19649408.924078
13660.328125,64.105414,19096780.141829
13662.545898,65.880651,18582193.431276
13663.792969,67.645254,18097455.853429
13664.289062,69.395078,17641121.441801
13664.632812,71.129859,17210873.370089
13659.117188,72.899357,16793111.203758
13661.553711,74.696128,16389162.774734
13660.315430,76.509821,16000651.699133
13662.108398,78.334363,15627968.977181
13664.898438,80.064189,15290319.198860
13668.740234,81.846920,14957276.325414
13663.875977,83.635921,14637335.146666
13662.184570,85.449788,14326624.153959
13658.012695,87.221347,14035635.091262
13662.872070,89.017616,13752412.773085
13666.423828,90.795698,13483094.860282
13663.012695,92.590096,13221792.167972
13662.660156,94.394760,12969014.435784
13662.987305,96.181225,12728128.609926
13661.146484,97.963392,12496576.261309
13664.507812,99.768444,12270483.087380
13662.736328,101.548073,12055442.995921
13661.941406,103.335799,11846881.824073
13659.044922,105.149158,11642575.396377
13662.566406,106.948720,11446672.836236
13661.770508,108.732680,11258869.033787
13664.205078,110.522164,11076574.687084
13660.237305,112.314278,10899834.104768
13664.744141,114.072070,10731873.269357
13661.836914,115.870367,10565315.638239
13662.037109,117.638718,10406497.309733
13664.906250,119.377162,10254951.473710
13660.686523,121.179507,10102426.025892
13661.545898,122.922436,9959182.688461
13665.353516,124.688941,9818088.089825
13660.785156,126.483334,9678800.847639
13660.284180,128.249101,9545540.646779
13663.500977,130.051359,9413258.016423
13665.021484,131.888750,9282118.455256
13660.655273,133.697138,9156568.468364
13665.765625,135.500564,9034700.427422
13660.768555,137.309668,8915664.972712
13658.874023,139.100422,8800886.307564
13663.590820,140.812113,8693904.067348
13661.365234,142.516589,8589926.345381
13661.310547,144.161065,8491939.232419
13661.091797,145.937173,8388589.237003
13658.371094,147.711658,8287815.693327
13660.307617,149.547095,8186096.823875
13663.316406,151.381976,8086874.251551
13662.384766,153.206782,7990553.571130
13666.562500,155.037619,7896193.280268
13660.205078,156.871072,7803905.356933
13665.678711,158.693156,7714302.424530
13663.743164,160.540819,7625518.604260
13661.099609,162.289135,7543370.040452
13657.303711,164.133144,7458621.534295
13664.117188,165.997466,7374853.532014
13660.157227,167.751059,7297760.177484
13660.738281,169.502453,7222355.646131
13658.917969,171.292170,7146894.098311
13664.451172,173.041719,7074634.988254
13662.339844,174.827523,7002369.990881
13664.612305,176.598879,6932133.474911
