residual_norm,runtime,flops
16965.023438,1.224244,1098006290.101578
13819.970703,2.691956,499349563.482052
13669.396484,4.181024,321506663.949945
13659.625000,5.657975,237580956.592649
13661.366211,7.233570,185831764.223864
13662.667969,8.789504,152935487.702572
13662.640625,10.334791,130068144.118116
13661.727539,11.894447,113012985.995906
13658.166016,13.432319,100074083.652171
13661.012695,14.959787,89856024.047693
13659.383789,16.889599,79589044.453601
13660.943359,18.818669,71430503.560820
13658.428711,20.542485,65436435.834222
13662.237305,22.083626,60869849.178937
13663.458008,23.627597,56892244.243878
13661.023438,25.179903,53384916.319399
13663.131836,26.730553,50288035.156084
13661.378906,28.282628,47528363.823691
13662.259766,29.841938,45044896.338397
13659.208984,31.396381,42814711.250290
13661.983398,32.947767,40798728.603530
13649.498047,34.488742,38975819.991609
13656.305664,36.419034,36910012.276586
13661.147461,38.015594,35359884.111536
13664.466797,39.704867,33855472.085781
13660.495117,41.785873,32169412.628429
13660.604492,43.820171,30675986.928519
13662.668945,45.901622,29284956.318002
13659.435547,47.955850,28030511.448889
13659.221680,50.030658,26868065.731127
13656.967773,52.088694,25806502.201629
13661.902344,54.066290,24862571.440328
13658.673828,56.002698,24002897.210576
13661.346680,57.913751,23210843.490839
13664.510742,59.856058,22457660.022563
13662.724609,61.781047,21757918.742689
13661.826172,63.718595,21096306.349432
13661.927734,65.570962,20500339.782788
13659.376953,67.271366,19982157.180681
13659.356445,68.948428,19496122.436769
13663.586914,70.616558,19035578.120365
13663.154297,72.616602,18511290.414506
13662.771484,74.524801,18037310.807732
13664.700195,76.431138,17587426.198005
13661.291016,78.328286,17161450.642132
13663.053711,80.397056,16719853.662383
13659.493164,82.456560,16302244.651994
13663.456055,84.510939,15905952.715614
13659.983398,86.547981,15531581.211857
13661.777344,88.492777,15190245.511928
13662.616211,90.443967,14862539.257454
13662.328125,92.098601,14595520.402063
13665.134766,93.813191,14328763.304392
13666.659180,95.738653,14040588.222057
13659.524414,97.475072,13790469.502384
13663.440430,99.182242,13553101.568537
13662.148438,100.656689,13354572.089444
13662.963867,102.009453,13177474.816717
13662.451172,103.632949,12971038.849831
13660.633789,105.255741,12771056.377369
13668.950195,106.980502,12565158.823825
13660.471680,108.583778,12379630.113667
13662.667969,110.196171,12198491.035175
13662.633789,111.819914,12021356.074977
13660.756836,113.465752,11846984.444278
13663.903320,115.078182,11680989.218896
13662.583984,116.703373,11518321.802745
13663.194336,118.471313,11346434.555821
13662.111328,120.235689,11179933.487934
13664.283203,121.898958,11027387.178466
13663.330078,123.510809,10883476.640785
13662.392578,125.139873,10741796.132181
13666.405273,126.758641,10604618.260683
13656.971680,128.551489,10456720.631668
13658.097656,130.329218,10314087.883427
13660.759766,132.147750,10172152.015643
13658.008789,133.834690,10043935.533416
13658.222656,135.449099,9924222.552983
13658.875977,137.069725,9806884.843334
13661.725586,138.679783,9693027.903809
13662.386719,140.301475,9580989.806012
13662.382812,141.991102,9466980.534624
13665.700195,143.541145,9364750.451604
13662.249023,144.984122,9271546.315682
13662.930664,146.598038,9169474.718416
13663.292969,148.206353,9069968.851508
13664.741211,149.816688,8972478.465177
13662.071289,151.242512,8887891.296551
13657.640625,152.775389,8798714.305258
13661.264648,154.396561,8706327.346030
13666.089844,156.143075,8608944.101567
13660.585938,157.750113,8521242.727434
13665.400391,159.683181,8418087.583794
13659.861328,161.466881,8325094.250646
13660.916992,163.235301,8234903.822992
13664.255859,165.013516,8146162.995979
13659.067383,166.616491,8067790.832623
13662.055664,168.223997,7990697.091081
13658.806641,169.842394,7914555.206621
13663.386719,171.468225,7839510.808585
